DRUGBANK_ID,DB00551,DB00552,DB00553,DB00554,DB00555,DB00556,DB00557,DB00558,DB00559,DB00560,DB00561,DB00562,DB00563,DB00564,DB00565,DB00566,DB00567,DB00568,DB00569,DB00570,DB00571,DB00572,DB00573,DB00575,DB00576,DB00577,DB00578,DB00579,DB00581,DB00582,DB00583,DB00584,DB00585,DB00586,DB00587,DB00588,DB00589,DB00590,DB00591,DB00592,DB00593,DB00594,DB00595,DB00596,DB00597,DB00598,DB00599,DB00600,DB00601,DB00602,DB00603,DB00604,DB00605,DB00606,DB00607,DB00608,DB00609,DB00610,DB00611,DB00612,DB00613,DB00614,DB00615,DB00617,DB00618,DB00619,DB00620,DB00621,DB00622,DB00623,DB00624,DB00625,DB00627,DB00628,DB00629,DB00630,DB00631,DB00632,DB00633,DB00634,DB00635,DB00636,DB00637,DB00639,DB00640,DB00641,DB00642,DB00643,DB00644,DB00645,DB00646,DB00647,DB00648,DB00649,DB00650,DB00651,DB00652,DB00654,DB00655,DB00656,DB00657,DB00658,DB00659,DB00660,DB00661,DB00662,DB00663,DB00664,DB00665,DB00666,DB00668,DB00669,DB00670,DB00671,DB00672,DB00673,DB00674,DB00675,DB00676,DB00677,DB00678,DB00680,DB00681,DB00682,DB00683,DB00684,DB00685,DB00686,DB00687,DB00688,DB00689,DB00690,DB00691,DB00692,DB00693,DB00694,DB00695,DB00696,DB00697,DB00698,DB00699,DB00700,DB00701,DB00703,DB00704,DB00705,DB00706,DB00708,DB00709,DB00710,DB00711,DB00712,DB00713,DB00714,DB00715,DB00716,DB00717,DB00718,DB00719,DB00720,DB00721,DB00722,DB00723,DB00724,DB00725,DB00726,DB00727,DB00728,DB00729,DB00730,DB00731,DB00732,DB00733,DB00734,DB00735,DB00736,DB00737,DB00738,DB00739,DB00740,DB00741,DB00742,DB00743,DB00744,DB00745,DB00746,DB00747,DB00748,DB00749,DB00750,DB00751,DB00752,DB00753,DB00754,DB00755,DB00756,DB00757,DB00758,DB00759,DB00760
DB00014,0.00807265,0.0110421,0.012012,0.0223464,0.0165563,0.00100705,0.029877,0.0195313,0.0299932,0.0206928,0.0243112,0.0191176,0.0534521,0.0237087,0.0271122,0.00795229,0.0387324,0.0222816,0.0100313,0.0188586,0.0426829,0.0294613,0.0193833,0.0247934,0.017762,0.0166289,0.0493562,0.0291971,0.00688073,0.0177839,0.0108268,0.110825,0.0120482,0.0370697,0.025,0.00912484,0.0723798,0.0364583,0.00810612,0.00301811,0.0123223,0.00904159,0.0156754,0.00892857,0.0153846,0.041876,0.0136612,0.0296367,0.0252976,0.009375,0.0123335,0.032967,0.0179187,0.00985829,0.0556916,0.0375699,0.0139405,0.0168382,0.0267627,0.0302198,0.0284672,0.0185654,0.0114806,0.0120259,0.0158656,0.0292318,0.00875173,0.00977573,0.0211833,0.0259032,0.0104834,0.0194665,0.0173913,0.0235988,0.0220307,0.00682927,0.0102041,0.00598802,0.0232158,0.0200957,0.00972763,0.0226202,0.038115,0.0352645,0.0105263,0.0148675,0.0699248,0.0244264,0.791591,0.0263158,0.0139257,0.0241667,0.0268577,0.0104418,0.0491228,0.00966543,0.0337224,0.0271829,0.0243478,0.0169367,0.00994575,0.006,0.0107317,0.0143885,0.0245399,0.0324786,0.00938338,0.0199826,0.0206842,0.730356,0.024839,0.0677126,0.0245195,0.0277094,0.0195531,0.0256766,0.015949,0.0225108,0.0188147,0.00596421,0.0319602,0.0278859,0.0139648,0.032,0.0217391,0.00685976,0.0140333,0.00613968,0.00913901,0.0163084,0.0383322,0.0296696,0.0647336,0.029826,0.02133,0.0170316,0.0164577,0.0723294,0.0170279,0.0182876,0.0272682,0.00804117,0.0470219,0.00530973,0.0189076,0.0310811,0.0403877,0.0246305,0.0130933,0.010397,0.0145068,0.0238095,0.0408548,0.0455965,0.0221729,0.011236,0.0136441,0.013986,0.0262411,0.00298805,0.0236295,0.136007,0.0185349,0.0275362,0.021097,0.0327869,0.00676983,0.0113389,0.0156682,0.0275808,0.080481,0.0271122,0.0113314,0.0213568,0.0478632,0.0219178,0.0283097,0.0189215,0.0281944,0.0167926,0.00948577,0.00593472,0.0421053,0.034797,0.0206767,0.0276498,0.0241509,0.0252613,0.0348599,0.033667,0.0314103,0.0191022,0.00297619,0.0404676,0.0128425,0.0128676,0.0927007,0.0349599,0.0183185,0.020625
DB00035,0.0101156,0.00865801,0.00769231,0.0157068,0.00979325,0,0.0443114,0.0172065,0.0193603,0.0154719,0.0343348,0.031339,0.0657143,0.0190583,0.025463,0.0113314,0.0557053,0.0379902,0.00923788,0.00687831,0.0251429,0.0382452,0.0300481,0.0187266,0.0217391,0.0106383,0.0657534,0.0212245,0.00394867,0.0110638,0.0153631,0.157343,0.0221704,0.0257913,0.0303327,0.00660689,0.0271343,0.0286624,0.00495049,0.00722543,0.0131926,0.00616523,0.0111583,0.00616016,0.0174966,0.0594837,0.0137157,0.0528455,0.0276454,0.00667351,0.00863558,0.0364146,0.0172861,0.00904295,0.0485651,0.0320579,0.0154044,0.0220779,0.0254083,0.0351317,0.0202392,0.0213964,0.00714605,0.00889454,0.012952,0.0279424,0.00746269,0.00900901,0.0338983,0.0220526,0.0105634,0.0173516,0.0189445,0.0293283,0.0118734,0.00826446,0.00679694,0.00568182,0.0102157,0.0268097,0.00909091,0.0208062,0.0354365,0.0332226,0.00706714,0.0119522,0.0654649,0.0236072,0.306058,0.0322981,0.0148637,0.0368304,0.0229469,0.00842105,0.064114,0.00666032,0.0310757,0.0418042,0.0215877,0.0217391,0.00739827,0.00426743,0.023644,0.0184502,0.0216963,0.0412844,0.00616333,0.021028,0.0175983,0.280915,0.0277778,0.0216049,0.0188062,0.0324284,0.0324675,0.0243478,0.0112994,0.0340376,0.0370861,0.0028169,0.0258007,0.0239044,0.0133136,0.0303867,0.0120391,0.00492126,0.0128834,0.00497018,0.00841279,0.0142045,0.0524535,0.0233528,0.0765993,0.0374037,0.0152905,0.010158,0.023614,0.0506894,0.014,0.0232301,0.0131504,0.00710732,0.0758048,0.00480769,0.0163551,0.0242272,0.0378151,0.0360656,0.0162514,0.0118421,0.0190476,0.0307868,0.0503486,0.0361991,0.0226629,0.00786276,0.0143639,0.00802407,0.0177462,0.00283688,0.0289093,0.174473,0.0154578,0.0126812,0.031746,0.0245464,0.00542741,0.010005,0.0282051,0.00904523,0.146631,0.025463,0.0131406,0.0184332,0.0277469,0.0101695,0.0446927,0.0277778,0.0366569,0.0122222,0.00878735,0.0056101,0.0634731,0.0326442,0.0383091,0.0462131,0.0302144,0.028136,0.0158996,0.0320988,0.0226563,0.0323015,0.00140845,0.0619579,0.0126147,0.00880503,0.0222032,0.0293848,0.0130152,0.0222393
DB00091,0.0137931,0.014437,0.00428725,0.0125,0.00245399,0,0.0133156,0.0287687,0.00732601,0.0169677,0.0178998,0.00723141,0.0413223,0.0101266,0.00995025,0.0168634,0.0534653,0.0165746,0.0204082,0.00598965,0.0168176,0.0278481,0.0163488,0.00714286,0.00823045,0.0185387,0.0699088,0.00706714,0.0122905,0.00842697,0.0181818,0.0716889,0.0186418,0.0132626,0.0194805,0.0115058,0.0248933,0.0189819,0.00823938,0.00342466,0.0170279,0.0042735,0.0141483,0.0120416,0.0270701,0.0233415,0.0188679,0.0075643,0.0178947,0.0176018,0.0135886,0.0246154,0.00851466,0.014876,0.0503597,0.0218894,0.00890208,0.021148,0.00699301,0.02,0.0121704,0.0140127,0.011798,0.0178838,0.0161105,0.0137868,0.00907544,0.0105184,0.0175258,0.00736648,0.0122324,0.0100705,0.00784929,0.0124352,0.0030581,0.00485437,0.0122526,0.00674536,0.00906736,0.0123648,0.0146252,0.0104948,0.0139925,0.00735294,0.0127953,0.0247569,0.0295015,0.00829016,0.0954738,0.0155148,0.0294659,0.0212235,0.00821918,0.0107399,0.0333651,0.00959488,0.016323,0.039801,0.0149701,0.00831601,0.00857143,0.00506757,0.0146104,0.0155807,0.0131435,0.0178799,0.0120482,0.00792602,0.0127758,0.0873221,0.015896,0.0126292,0.018851,0.0388109,0.0148368,0.0171592,0.0114633,0.0131579,0.00900901,0.00838926,0.00676329,0.0146932,0.0244101,0.0130653,0.00406835,0.013363,0.0104987,0.0123735,0.0083682,0.0126582,0.0500463,0.0145455,0.057971,0.0171149,0.00412541,0.0145015,0.0102623,0.0243701,0.00556793,0.0277778,0.0103406,0.00889218,0.0358343,0.00554785,0.00644382,0.0191956,0.0174014,0.0170109,0.00853659,0.0138675,0.0224359,0.0153649,0.0515203,0.0160901,0.0114464,0.00697674,0.0147929,0.00675676,0.00876339,0.003367,0.0135747,0.0644391,0.0192044,0.00901804,0.0165394,0.0179856,0.00638978,0.0127389,0.00728863,0.00224467,0.0602241,0.00995025,0.00609756,0.00997506,0.0174782,0.0055814,0.0147783,0.00452489,0.0482703,0.00250627,0.010665,0.0184874,0.0291391,0.023199,0.0135135,0.0262391,0.0327511,0.0132275,0.00914913,0.0327635,0.0135364,0.0186335,0.00166945,0.0507042,0.0117955,0.00728863,0.0216369,0.0160966,0.0138488,0.0663176
DB00093,0.00970874,0.00832562,0.00829016,0.0149115,0.0106635,0,0.04047,0.0163934,0.0151921,0.0144617,0.0373396,0.0326864,0.0631365,0.0208078,0.0236735,0.00947867,0.0648596,0.0418354,0.00815661,0.00674582,0.0262172,0.0404908,0.030303,0.0178571,0.0171504,0.0146444,0.0684932,0.017301,0.00319489,0.00906618,0.0155763,0.169427,0.0203822,0.025641,0.0294737,0.00635697,0.0285515,0.0304826,0.00468085,0.00647249,0.0131579,0.00679348,0.00938708,0.0058698,0.0179372,0.0546116,0.0151307,0.0384615,0.0276639,0.00640341,0.00902527,0.033966,0.0119376,0.00958466,0.0473235,0.0324385,0.0170455,0.0200573,0.0188679,0.0245902,0.0137255,0.022113,0.00646353,0.00983146,0.0100897,0.0215247,0.00721421,0.00876552,0.0364742,0.0207769,0.0104012,0.0166341,0.018018,0.0273834,0.0131772,0.0123267,0.00634633,0.0063593,0.0111663,0.0221893,0.0088968,0.0157368,0.0293309,0.0250896,0.00661626,0.0118544,0.0575177,0.0233266,0.269015,0.0299728,0.0149516,0.0401949,0.0184697,0.00799087,0.0616114,0.00614125,0.0217938,0.0443114,0.0175439,0.0233978,0.00815217,0.00477707,0.01849,0.0203252,0.0201699,0.0334988,0.00587293,0.0165394,0.0167973,0.239711,0.0193103,0.02,0.0200348,0.0327215,0.025641,0.0212963,0.00986193,0.0306905,0.0411765,0.00314961,0.0179415,0.0236887,0.013302,0.0306022,0.0111465,0.00745474,0.0115533,0.00429185,0.00819193,0.0132248,0.0607985,0.0230906,0.0798206,0.0260047,0.0104839,0.010607,0.0233074,0.0518395,0.0118534,0.022864,0.0137395,0.00730193,0.0749441,0.00528402,0.0127847,0.0240214,0.0339751,0.0392857,0.01649,0.0131387,0.0212121,0.028536,0.0517241,0.0285036,0.0181818,0.00678733,0.0144092,0.00867679,0.0190114,0.00158479,0.024602,0.208333,0.0143229,0.0136054,0.0334158,0.0266821,0.0060423,0.010395,0.0312057,0.00978261,0.159357,0.0236735,0.0131004,0.0187296,0.0302663,0.00903342,0.0424242,0.0203488,0.0371805,0.0108827,0.00857318,0.00469484,0.0669291,0.0343195,0.042522,0.0481586,0.0315126,0.0242656,0.0151515,0.0339674,0.0240664,0.039039,0.0015748,0.068306,0.0112641,0.00692521,0.0237226,0.0315582,0.0112803,0.0219334
DB00104,0.0124611,0.01732,0.0152439,0.0248162,0.0209059,0,0.0300375,0.0301724,0.0283186,0.0185676,0.0292463,0.0349301,0.0449219,0.0274791,0.0272873,0.0152672,0.0562852,0.0283505,0.0169218,0.0176056,0.0613267,0.039239,0.0332481,0.0281501,0.0165816,0.0257467,0.0458372,0.0221088,0.0136126,0.0160571,0.0164918,0.0571109,0.0159705,0.0535714,0.0297436,0.00871249,0.081295,0.0281224,0.00674821,0.00465116,0.0126761,0.00656168,0.0158904,0.00844327,0.018732,0.0566706,0.0173103,0.0385164,0.0218471,0.0121758,0.00948429,0.0371457,0.0171326,0.0149489,0.0495805,0.0405702,0.0164384,0.0321678,0.019195,0.0278146,0.0271318,0.0106007,0.00914913,0.00675676,0.0155556,0.0237258,0.00876712,0.0100503,0.0334975,0.0248227,0.0109409,0.021093,0.0188133,0.0328032,0.0257143,0.0133531,0.0161002,0.0107362,0.0293758,0.0213675,0.0111241,0.0165746,0.0360685,0.0339181,0.0167754,0.0175,0.0707876,0.035,0.345865,0.0208877,0.0243056,0.0377358,0.0350195,0.0133779,0.0408719,0.0120361,0.0272277,0.0478413,0.023088,0.015748,0.00919842,0.00458716,0.0162722,0.0169713,0.0217391,0.0287425,0.00898045,0.0172626,0.0196507,0.315472,0.0282258,0.0863061,0.0248288,0.0248447,0.0219178,0.0180343,0.0149448,0.0271605,0.0396601,0.0060698,0.0317757,0.0265781,0.0216551,0.0469667,0.0204724,0.017801,0.0139241,0.00944386,0.00923254,0.012884,0.0528634,0.0243478,0.0548885,0.0205479,0.0199362,0.0229142,0.0226537,0.0609349,0.0157895,0.0138889,0.0231591,0.00796236,0.0858086,0.00639386,0.012253,0.0279476,0.0468227,0.0309633,0.0183276,0.00981767,0.00864553,0.0376214,0.036479,0.0392157,0.024777,0.0126488,0.0127119,0.0105708,0.0309859,0.00304878,0.0194444,0.0719101,0.0320513,0.0318533,0.0361011,0.0411429,0.00581395,0.00922131,0.0300958,0.0357918,0.161702,0.0272873,0.0154712,0.0224179,0.0747549,0.0232766,0.0314319,0.0181818,0.0247748,0.0153121,0.0102657,0.0198473,0.0448319,0.0380623,0.0351124,0.0240642,0.0338462,0.0209618,0.0392507,0.0493333,0.0294118,0.04209,0.00151286,0.0479896,0.0121359,0.0175676,0.112403,0.0327553,0.0167691,0.0239234
DB00116,0.0155902,0.0154185,0.0138539,0.0244716,0.0208644,0,0.0294599,0.0283401,0.0254237,0.0158917,0.022695,0.0218182,0.19346,0.0152439,0.0206767,0.021692,0.0367075,0.0202703,0.0132827,0.00592885,0.0299213,0.0318665,0.0284757,0.0250447,0.0343053,0.0941337,0.0324022,0.0212766,0.00519481,0.0172228,0.021097,0.0548523,0.0209677,0.0326797,0.0384615,0.00638978,0.0226563,0.020428,0.00550206,0.00888889,0.0174419,0.019573,0.0103469,0.00703812,0.0198807,0.0573152,0.019678,0.032882,0.0321384,0.00821596,0.0100402,0.0573171,0.0309051,0.0157553,0.0350263,0.0413793,0.0300752,0.0225564,0.0132589,0.0448833,0.0260663,0.0168453,0.00902708,0.00731261,0.0130192,0.0531453,0.00857318,0.00999167,0.0227273,0.0136986,0.0127443,0.0307692,0.0386965,0.0393604,0.0174757,0.0103306,0.0129032,0.00649351,0.0172956,0.0397614,0.0105471,0.0304183,0.0346696,0.036036,0.0135593,0.0138203,0.197279,0.0447205,0.0496296,0.0632911,0.0196484,0.0223547,0.0272109,0.0185185,0.288227,0.0213033,0.016441,0.0322581,0.0234114,0.0169903,0.0123457,0.0087146,0.0228216,0.0335689,0.0192802,0.0472441,0.00704225,0.0361248,0.0206897,0.0452092,0.0362976,0.0259918,0.0297741,0.0358786,0.0415094,0.0286029,0.0095941,0.0373984,0.0344828,0.00428266,0.0329171,0.0235756,0.017148,0.0305882,0.0156682,0.00646831,0.0225127,0.00655308,0.00974026,0.0184502,0.0340909,0.0207469,0.0391174,0.0339734,0.0187793,0.0150919,0.0357143,0.0133794,0.0211921,0.0224888,0.0125828,0.00660451,0.0447958,0.0119454,0.00981229,0.0369198,0.0290055,0.0217391,0.0342262,0.00766284,0.00998004,0.0393082,0.0372787,0.0152603,0.0332103,0.0201049,0.0172272,0.016,0.0168729,0.004329,0.0650888,0.0584958,0.0234506,0.0162602,0.029321,0.0184659,0.010142,0.00623229,0.0275735,0.0242261,0.0794473,0.0206767,0.0134357,0.02849,0.016369,0.024838,0.0267062,0.0470588,0.0182609,0.0229709,0.0102459,0.00851064,0.0420032,0.0217077,0.0323194,0.028777,0.0238994,0.0308943,0.0231823,0.0403509,0.0142721,0.027451,0.00214133,0.0442177,0.0174881,0.0145191,0.0269107,0.0173812,0.0124611,0.0225141
DB00117,0.036036,0.0175131,0.00869565,0.0157618,0.0147493,0,0.024911,0.0293399,0.0129241,0.0124269,0.0215054,0.0182556,0.0469667,0.0188088,0.0219479,0.0833333,0.0296167,0.0233463,0.0167832,0.00405111,0.0228758,0.0398773,0.045977,0.0220264,0.0234375,0.0359551,0.0210158,0.00907716,0.00932401,0.0202703,0.0671642,0.0487179,0.028169,0.0392857,0.0330396,0.00715215,0.0232558,0.0201729,0.00597501,0.00892857,0.027933,0.0220264,0.00840979,0.00805861,0.0487805,0.0434783,0.0269058,0.0432432,0.0164609,0.00805271,0.00863558,0.0174081,0.0171527,0.0107095,0.0157005,0.0197044,0.0454545,0.0463918,0.010919,0.0387931,0.0194175,0.0221519,0.00602047,0.0194175,0.0109461,0.0210697,0.00693909,0.0104287,0.0198413,0.00811688,0.0106888,0.0153257,0.0833333,0.0264766,0.0280899,0.0277778,0.0152027,0.0163934,0.0337838,0.0340909,0.00931414,0.0307692,0.014876,0.0325444,0.0164534,0.0162963,0.0466019,0.0183299,0.0738523,0.0291667,0.0270701,0.0298507,0.0193798,0.0246575,0.0373514,0.0193548,0.017192,0.03125,0.0161105,0.01222,0.0130435,0.0252101,0.0340136,0.0338983,0.0157303,0.0253165,0.00806452,0.024735,0.0126904,0.0652557,0.0454545,0.0328283,0.0137825,0.0194805,0.0292683,0.0206186,0.00884086,0.0171233,0.0418848,0.015873,0.0160714,0.0100865,0.0221066,0.0288462,0.0133156,0.0162791,0.0132953,0.0118483,0.00746888,0.0167015,0.0264386,0.0125984,0.0404192,0.022792,0.00949796,0.0134454,0.0299252,0.0136364,0.0117647,0.024024,0.0145175,0.00671141,0.0319635,0.0202429,0.0079602,0.0190476,0.0306122,0.0224719,0.0290698,0.0164835,0.0248447,0.038961,0.0171278,0.0206718,0.0162933,0.0122549,0.0123874,0.0193705,0.0144144,0.0165289,0.0364583,0.0501253,0.0305344,0.0171429,0.0349206,0.0217391,0.0261438,0.00560617,0.0234742,0.0194175,0.105058,0.0219479,0.0274725,0.0150479,0.0178571,0.0201342,0.0233236,0.0265957,0.0146699,0.015528,0.00797166,0.0310078,0.0666667,0.0252809,0.0520833,0.03125,0.0282609,0.0280702,0.0210697,0.037037,0.0168303,0.0639535,0.00793651,0.0340909,0.0310345,0.0331754,0.0319865,0.0209125,0.0110236,0.017663
DB00118,0.00847458,0.102911,0.00747065,0.0104862,0.0160296,0,0.0105263,0.0332569,0.0155963,0.00919913,0.0129564,0.00717949,0.039959,0.00877193,0.0107261,0.013289,0.0142045,0.00814111,0.0360515,0.0037961,0.0140665,0.0224719,0.013459,0.00992908,0.0108992,0.0455556,0.00949668,0.00614035,0.0422374,0.018797,0.0196399,0.0206659,0.0117955,0.0104849,0.017149,0.00744786,0.00835655,0.0250216,0.00734341,0.00338409,0.00758725,0.018598,0.0101067,0.00760043,0.0203443,0.0206561,0.0128571,0.00748503,0.0135276,0.0186506,0.0104231,0.020284,0.00751174,0.00981194,0.0107116,0.0205479,0.014771,0.016369,0.005689,0.015493,0.0151515,0.011335,0.0117592,0.00877193,0.011409,0.010929,0.00790068,0.0112191,0.0111902,0.00547945,0.0121673,0.011011,0.0109034,0.0102669,0.0106707,0.00802568,0.316687,0.00666667,0.0141935,0.010687,0.0102719,0.0103858,0.0167286,0.0171779,0.698361,0.0219106,0.0220662,0.0103093,0.0150033,0.0111266,0.0416667,0.0110294,0.00814111,0.0276775,0.0215356,0.0369565,0.00932994,0.029304,0.0141369,0.0134855,0.00848656,0.0100671,0.0112,0.0154278,0.00865801,0.0125945,0.00760456,0.0225764,0.00802752,0.0138138,0.0157368,0.00908059,0.0124113,0.0128102,0.0102339,0.0151229,0.00937709,0.0077821,0.0089153,0.00829187,0.0145068,0.00767918,0.036855,0.0129741,0.0114099,0.0420455,0.017094,0.0342075,0.00833333,0.0115063,0.0142349,0.00807899,0.016436,0.00841346,0.00575185,0.0224378,0.00903955,0.0072904,0.0122358,0.00859951,0.0127505,0.00775194,0.0230516,0.0110497,0.0064257,0.0135501,0.0126002,0.00956938,0.0334572,0.00757576,0.00938967,0.0126582,0.012945,0.00953895,0.0145078,0.0108359,0.0147167,0.17013,0.0116392,0.00332779,0.0149477,0.0192744,0.0176391,0.0606695,0.0215463,0.00943396,0.0127186,0.0110876,0.00721501,0.00896861,0.0255034,0.0107261,0.00755287,0.0174854,0.00735294,0.0149254,0.00849515,0.0105105,0.00769231,0.0125471,0.0131497,0.0268007,0.0221643,0.0131894,0.013373,0.0113798,0.0291577,0.0171053,0.0100091,0.0152566,0.00921273,0.0184332,0.0066335,0.0120968,0.0103761,0.00867052,0.0148561,0.0119403,0.00973097,0.0148637
DB00119,0.28,0.00403226,0.00793651,0.0184426,0.00772201,0,0.00985222,0.0368098,0.00927644,0.00618238,0.0136519,0.00479616,0.020316,0.0125523,0.00607903,0.146341,0.0221328,0.00558659,0.010989,0.00223499,0.0132159,0.0199203,0.0382514,0.00675676,0.0228571,0.0106952,0.0141988,0.00516351,0.00286533,0.00579151,0.0909091,0.0219436,0.0145631,0.029703,0.0184697,0.00342231,0.00568182,0.00644122,0.00283447,0,0.0412371,0.0347222,0.00651466,0.00388199,0.0595238,0.0297398,0.028169,0.0280374,0.0148148,0.00465839,0.0055607,0.01373,0.02,0.00298507,0.012016,0.00607903,0.0247934,0.0344828,0.00292683,0.0193548,0.00913242,0.0126582,0.00761421,0.0325203,0.00665557,0.012963,0.00410509,0.00637755,0.0165094,0.00373134,0.00655308,0.00675676,0.116883,0.0169082,0.010101,0.031746,0.00387597,0.0512821,0.0136364,0.0645161,0.00452899,0.0350877,0.00378072,0.00377358,0.00424628,0.0083612,0.0178571,0.0145985,0.00607903,0.0379747,0.0126126,0.0155039,0.00558659,0.0174825,0.0153846,0.0103359,0.00803859,0.0181818,0.00755668,0.00485437,0.00671141,0,0.112903,0.0320513,0.00544959,0.0255319,0.003885,0.0147059,0.0128205,0.00536193,0.027972,0.00928793,0.0104712,0.012987,0.0322581,0.00590551,0.0031881,0.014218,0.045045,0.0465116,0.00829876,0.00651466,0.0100575,0.018018,0.00593472,0.00283286,0.00923077,0.00584795,0.0044405,0.0227848,0.0212389,0.00900901,0.0115702,0.0184502,0.0107034,0.00898473,0.0280374,0.00312826,0.00289017,0.0117647,0.00545951,0.00184928,0.0137363,0.0368098,0.00257998,0.0108499,0.00943396,0.0144404,0.011194,0.030303,0.0512821,0.0349345,0.0147275,0.0056899,0.00240964,0.0136426,0.00616523,0.011976,0.00628931,0.0526316,0.0545455,0.0181818,0.0163043,0.00445434,0.0210084,0.00687285,0.0136986,0.00520446,0.0227273,0.00597015,0.0360825,0.00607903,0.029703,0.00610687,0.0077821,0.00767754,0.0113208,0.0185185,0.00945946,0.00411523,0.0047619,0.0204082,0.027907,0.0180505,0.0258621,0.0496454,0.012987,0.00961538,0.012963,0.0304878,0.00156006,0.010101,0,0.0215054,0.0384615,0.0227273,0.00952381,0.00888889,0.00670578,0.0152439
DB00120,0.0470588,0.0146252,0.0186047,0.0240296,0.0258065,0,0.0916667,0.0286458,0.0255973,0.0126677,0.0694864,0.0625,0.0516529,0.0418118,0.033046,0.106383,0.0600375,0.0972222,0.0174165,0.00503145,0.0708955,0.0982456,0.122727,0.040404,0.0442478,0.0283688,0.0509434,0.0223285,0.00992556,0.0194004,0.0833333,0.113372,0.027027,0.0816327,0.049763,0.00727513,0.021692,0.0286576,0.00606061,0.0116279,0.0326797,0.019802,0.0117371,0.00821509,0.057971,0.117057,0.0304569,0.201439,0.0263158,0.00820896,0.00883392,0.0288066,0.0271739,0.0110957,0.0316456,0.026455,0.0647059,0.0993789,0.0168697,0.075,0.0246407,0.0276817,0.00550122,0.0222222,0.0127898,0.0289608,0.00708104,0.0107527,0.0655022,0.0223368,0.0110294,0.0243902,0.117188,0.059867,0.0536913,0.0338983,0.0123239,0.0208333,0.0332103,0.0758621,0.00952381,0.0670732,0.0315789,0.0521173,0.0133843,0.0169492,0.0512295,0.0440529,0.035503,0.0574163,0.0282392,0.103806,0.0627803,0.0235294,0.0427807,0.015873,0.027027,0.101307,0.0214541,0.0306346,0.0147059,0.0322581,0.0413223,0.0430622,0.0289855,0.0492958,0.00822123,0.0393701,0.0247253,0.0341207,0.0736842,0.032345,0.0208668,0.0187919,0.0632184,0.0234234,0.0121335,0.0796813,0.193103,0.02,0.0323194,0.0227273,0.0228802,0.0626305,0.0194175,0.0173267,0.0166016,0.0126263,0.00763359,0.01766,0.0531561,0.0249169,0.0755627,0.0471698,0.0213371,0.0172414,0.0487805,0.0274896,0.0150754,0.0294118,0.0148472,0.0067904,0.100775,0.018018,0.010101,0.0215589,0.0617978,0.0798722,0.0347003,0.0192308,0.0296296,0.101124,0.0375522,0.0324324,0.0282609,0.0126582,0.012761,0.0154242,0.0287356,0.0210526,0.0745342,0.113314,0.0517241,0.0262626,0.0948905,0.0510511,0.0314961,0.00571021,0.116279,0.0233766,0.316327,0.033046,0.0662252,0.019943,0.0784983,0.0174825,0.0833333,0.0636943,0.034749,0.0273038,0.00815956,0.038835,0.16318,0.059375,0.165563,0.0353535,0.0668258,0.0595238,0.0289608,0.0710901,0.0294551,0.198473,0.01,0.107623,0.0340909,0.0378378,0.0334507,0.0365112,0.0145161,0.0183099
