DRUGBANK_ID,DB00014,DB00035,DB00091,DB00093,DB00104,DB00116,DB00117,DB00118,DB00119,DB00120,DB00121,DB00122,DB00123,DB00125,DB00126,DB00127,DB00128,DB00129,DB00130,DB00131,DB00132,DB00133,DB00134,DB00135,DB00136,DB00138,DB00139,DB00140,DB00141,DB00142,DB00143,DB00144,DB00145,DB00146,DB00147,DB00149,DB00150,DB00151,DB00152,DB00153,DB00154,DB00155,DB00156,DB00158,DB00159,DB00160,DB00161,DB00162,DB00163,DB00165,DB00166,DB00167,DB00168,DB00169,DB00170,DB00172,DB00173,DB00174,DB00175,DB00176,DB00177,DB00178,DB00179,DB00180,DB00181,DB00182,DB00183,DB00184,DB00185,DB00186,DB00187,DB00188,DB00189,DB00190,DB00191,DB00192,DB00193,DB00194,DB00195,DB00196,DB00198,DB00199,DB00202,DB00203,DB00204,DB00205,DB00206,DB00207,DB00208,DB00209,DB00210,DB00211,DB00212,DB00213,DB00214,DB00215,DB00216,DB00217,DB00218,DB00219,DB00220,DB00221,DB00222,DB00223,DB00224,DB00226,DB00227,DB00228,DB00229,DB00230,DB00231,DB00232,DB00233,DB00234,DB00235,DB00236,DB00237,DB00238,DB00239,DB00240,DB00241,DB00242,DB00243,DB00244,DB00245,DB00246,DB00247,DB00248,DB00249,DB00250,DB00251,DB00252,DB00253,DB00254,DB00255,DB00256,DB00257,DB00259,DB00260,DB00261,DB00262,DB00263,DB00264,DB00265,DB00266,DB00267,DB00268,DB00270,DB00271,DB00272,DB00273,DB00274,DB00275,DB00276,DB00277,DB00278,DB00279,DB00280,DB00281,DB00282,DB00283,DB00284,DB00285,DB00287,DB00288,DB00289,DB00290,DB00291,DB00292,DB00293,DB00294,DB00295,DB00296,DB00297,DB00298,DB00299,DB00300,DB00301,DB00302,DB00303,DB00304,DB00305,DB00306,DB00307,DB00308,DB00309,DB00310,DB00312,DB00313,DB00314,DB00315,DB00316,DB00317,DB00318,DB00319,DB00320,DB00321,DB00322,DB00323,DB00324,DB00326
DB00014,1,0.277182,0.0949367,0.233927,0.344684,0.0477941,0.0732673,0.0155844,0.00603015,0.035225,0.0207125,0.00503018,0.0207715,0.0243191,0.0108893,0.0049554,0.0179104,0.0209163,0.0288557,0.0107744,0.0133843,0.0171026,0.0178218,0.0587649,0.015625,0.0127451,0.0110775,0.00962696,0.0159475,0.0268657,0.0573308,0.0211268,0.00909091,0.0152217,0.0192484,0.0230924,0.196098,0.013013,0.015949,0.0138158,0.01341,0.0263672,0.0109235,0.0494978,0.0135659,0.0110664,0.012,0.0111972,0.0199362,0.0194085,0.0151515,0.0138203,0.0780669,0.0153538,0.0198962,0.0265748,0.0147738,0.0199005,0.015625,0.022482,0.0538287,0.0615051,0.0329369,0.00844854,0.0258869,0.0246792,0.343078,0.0436761,0.0108878,0.0256046,0.0350554,0.0895141,0.00488759,0.0293333,0.0206287,0.0389507,0.0178862,0.0105263,0.0317604,0.0163132,0.0152979,0.0141677,0.0116732,0.0183908,0.028777,0.0204444,0.0241803,0.0141509,0.0275304,0.018794,0.0186722,0.0267472,0.0607815,0.0237449,0.0248199,0.0261628,0.087146,0.0201729,0.0142031,0.0220901,0.0463576,0.0266193,0.0362934,0.00938338,0.07289,0.019802,0.0149254,0.00394477,0.029755,0.0178571,0.0233577,0.0160183,0.0196813,0.0248447,0.0162116,0.0174757,0.0119926,0.0230263,0.0212766,0.00903042,0.0139535,0.0111732,0.0380165,0.0225564,0.0216263,0.0323887,0.0424275,0.0662076,0.0101721,0.0155189,0.0287019,0.0162162,0.0145985,0.0162991,0.0228137,0.0223214,0.0227273,0.0157017,0.0217391,0.024,0.0173913,0.0191304,0.031746,0.0271739,0.0294574,0.0252294,0.0355631,0.0199005,0.010101,0.0185366,0.0107455,0.0144058,0.0326667,0.0293276,0.0123967,0.113844,0.035533,0.0275624,0.0273843,0.00588813,0.0417732,0.0107962,0.0230496,0.0223421,0.0073114,0.0295395,0.0332313,0.0342205,0.0220152,0.0492021,0.0122601,0.0190053,0.0603908,0.0602303,0.025923,0.0149724,0.0144158,0.0409392,0.0166503,0.0257732,0.0103205,0.0115794,0.0127273,0.0197418,0.0315884,0.0204982,0.0220842,0.0137112,0.017,0.0682618,0.0884406,0.0265748,0.0201884,0.0161417,0.0573048,0.0697501,0.0289256,0.0101721,0.0205128,0.00928074,0.0104762
DB00035,0.277182,1,0.119323,0.705805,0.191509,0.0623229,0.0302234,0.0144462,0.00718391,0.0782361,0.0344062,0.00431034,0.0295359,0.0726496,0.0111801,0.0113314,0.0299145,0.0298295,0.0485714,0.00755034,0.0174029,0.0186246,0.0282486,0.0838068,0.0128617,0.0382436,0.015873,0.00583942,0.0182055,0.0382979,0.110363,0.0213777,0.0130435,0.0139688,0.011208,0.0184136,0.03233,0.018598,0.0114226,0.0130612,0.0174497,0.0637394,0.0126939,0.0630713,0.0177353,0.012931,0.0128023,0.00923788,0.0124095,0.0100629,0.0293333,0.0153631,0.15747,0.0141196,0.0126728,0.0464789,0.00503145,0.0386819,0.0161565,0.0232274,0.0531401,0.081557,0.0349563,0.00518583,0.0391363,0.0512821,0.197343,0.0534826,0.0111483,0.0205541,0.0418251,0.126728,0.00413793,0.030012,0.0379213,0.023374,0.0214592,0.00706714,0.0371747,0.0117647,0.0169312,0.00997151,0.0123119,0.0116838,0.0355828,0.0204573,0.014767,0.00995733,0.0210748,0.0277207,0.0147059,0.0312862,0.0448029,0.0108696,0.0197711,0.0201835,0.0445026,0.0438356,0.0155958,0.032,0.0526316,0.0263473,0.0378486,0.00616333,0.0774042,0.00969697,0.0144462,0.0013947,0.0360679,0.0182328,0.0279851,0.0167488,0.0207254,0.0261569,0.0102041,0.0246575,0.0114213,0.0203252,0.0145773,0.00607064,0.0128205,0.00701754,0.0268528,0.0247074,0.0328253,0.0224439,0.0288401,0.0313064,0.00813835,0.0218878,0.0207834,0.0285714,0.0123001,0.0116732,0.0305445,0.0205128,0.0200669,0.0222531,0.0222841,0.0174472,0.0300958,0.0210773,0.0373711,0.0220588,0.0138067,0.0290456,0.0266963,0.0115865,0.010101,0.0163934,0.00416667,0.0153397,0.0254516,0.0142476,0.0032538,0.0807401,0.037037,0.0371661,0.0233766,0.00694444,0.0525114,0.00926706,0.0276775,0.0218905,0.00552283,0.0338785,0.0335671,0.0478723,0.0260181,0.0535862,0.013308,0.0155535,0.0681004,0.0678571,0.020284,0.011259,0.00875486,0.0392727,0.0235784,0.0282759,0.0110175,0.0096463,0.0124378,0.0185547,0.0420272,0.00804661,0.0172265,0.0137845,0.0228245,0.0712401,0.0445076,0.0362622,0.015025,0.0124279,0.0731518,0.0507365,0.0216216,0.00813835,0.0205479,0.00644122,0.0119681
DB00091,0.0949367,0.119323,1,0.126787,0.0776093,0.0294416,0.019697,0.0176523,0.00854701,0.0205047,0.031407,0.00512821,0.0180328,0.0206677,0.0203193,0.00332779,0.0217028,0.0182421,0.0213115,0.0130112,0.0204403,0.0186757,0.0198347,0.0203443,0.0159151,0.0180033,0.0119454,0.0119808,0.0386399,0.0213816,0.0484582,0.020436,0.0120482,0.0144535,0.0100865,0.0357751,0.0162095,0.0186441,0.00700117,0.015274,0.0205047,0.0223642,0.0323129,0.028348,0.0209003,0.0188679,0.0273504,0.010596,0.011655,0.00874636,0.0138037,0.0352941,0.0549296,0.0155535,0.00655308,0.025974,0.00291545,0.0216306,0.0333651,0.00693481,0.0526882,0.0699088,0.0184397,0.0100319,0.0185471,0.0145631,0.0501825,0.0250696,0.00887199,0.0127701,0.0244957,0.0547445,0.00981997,0.0121951,0.00802568,0.0135747,0.013253,0.0127953,0.0196629,0.00481348,0.0290557,0.0430966,0.011254,0.00814815,0.0166436,0.00820793,0.0145773,0.0413683,0.00822562,0.0102157,0.0095057,0.0223097,0.0183398,0.00641613,0.0199531,0.00907258,0.0149533,0.0108696,0.0126836,0.0127877,0.0391111,0.033241,0.0264609,0.0120482,0.0453795,0.00557103,0.0322292,0.00165017,0.0391404,0.025,0.0184995,0.0210643,0.00744048,0.0133779,0.00515464,0.0208333,0.0208333,0.0150843,0.0043057,0.0130178,0.0225904,0.0117073,0.0230024,0.00744048,0.0212202,0.0126697,0.0296097,0.0256082,0.0149942,0.00473934,0.0112749,0.00985915,0.0179045,0.0178678,0.0106383,0.0156757,0.00249377,0.00483092,0.0246711,0.0183861,0.0206677,0.00794702,0.0205882,0.0226308,0.00658617,0.0353383,0.0175439,0.0108588,0.0117474,0.0063593,0.00829493,0.0142744,0.00797166,0.00587084,0.00493827,0.0692168,0.01625,0.0155844,0.0242057,0.00490998,0.0175659,0.0245052,0.0178082,0.0361991,0.00614439,0.0117647,0.0517241,0.0180451,0.0140127,0.0354925,0.0143149,0.0110259,0.0329815,0.0328515,0.010158,0.00804598,0.0120219,0.0485282,0.0178571,0.0558531,0.0132867,0.0108324,0.0232897,0.00756757,0.0223464,0.00657331,0.00753296,0.0189781,0.0219224,0.0593301,0.0226804,0.0144462,0.00729262,0.0107126,0.0745763,0.0280335,0.0121359,0.0149942,0.00772201,0.0120482,0.0350318
DB00093,0.233927,0.705805,0.126787,1,0.273286,0.0595358,0.0365497,0.0179795,0.00481541,0.0910543,0.0375303,0.00321543,0.0545746,0.0430769,0.00956284,0.0158983,0.0368,0.0416667,0.0577849,0.00715563,0.0178306,0.0241546,0.0332278,0.0519878,0.0128205,0.0612903,0.0145161,0.00540123,0.018705,0.0461783,0.106195,0.0261438,0.012987,0.0139983,0.00958904,0.0238474,0.0378049,0.0241158,0.0112486,0.0130321,0.0178838,0.048062,0.0157978,0.0604289,0.0166667,0.016129,0.015949,0.00883838,0.0111857,0.00831025,0.0295421,0.01875,0.193009,0.0141593,0.0138714,0.0404984,0.00555556,0.0466989,0.0154125,0.0228188,0.0453141,0.0854871,0.0216802,0.00491071,0.0342262,0.0608,0.18345,0.0589849,0.0121655,0.0191022,0.031768,0.13728,0.0030722,0.0195313,0.0423862,0.0230516,0.0245327,0.00661626,0.0269542,0.00926999,0.0207373,0.00977444,0.0137195,0.0108538,0.0267023,0.0157687,0.0143266,0.00975976,0.0228833,0.0300334,0.0110497,0.0303413,0.0480307,0.00979519,0.0214447,0.0166667,0.0446927,0.048855,0.0130463,0.0362954,0.0542432,0.0182292,0.0287234,0.00587293,0.0813278,0.012016,0.0145051,0.00155763,0.0334572,0.0187793,0.027,0.0180851,0.0156695,0.0271739,0.0111524,0.0274809,0.0126227,0.021645,0.0114823,0.00575374,0.0141844,0.0065666,0.0268065,0.0156695,0.0359897,0.0230292,0.0295858,0.0327869,0.00770077,0.0166415,0.0177815,0.0315068,0.0122423,0.00983796,0.0144718,0.0224239,0.0218978,0.0169492,0.0329154,0.0167323,0.0303951,0.0165816,0.0267229,0.0242915,0.0127524,0.0291333,0.0278788,0.0124164,0.00834492,0.021374,0.00444444,0.0138782,0.017331,0.0133333,0.00354191,0.0842294,0.0353659,0.0407125,0.0244253,0.00931677,0.0508685,0.00898473,0.0236531,0.0225564,0.00567967,0.0358056,0.0343392,0.0363372,0.0284302,0.0524934,0.0132979,0.0113154,0.0819022,0.0815789,0.0230769,0.0110742,0.00944386,0.0399386,0.0247295,0.0283224,0.0108918,0.0100503,0.0137174,0.0125523,0.0392422,0.00793201,0.0156107,0.0152144,0.022293,0.0875357,0.04154,0.0198473,0.0142222,0.0109991,0.0759076,0.0518987,0.0235294,0.00770077,0.0123609,0.00614869,0.0117994
DB00104,0.344684,0.191509,0.0776093,0.273286,1,0.0446602,0.0485021,0.0244519,0.00772798,0.0992248,0.0400471,0.00775194,0.0540123,0.0383481,0.0227273,0.0137195,0.0321593,0.0416025,0.0316265,0.0131926,0.0157143,0.0279503,0.035061,0.056213,0.0185029,0.0523077,0.0108025,0.0168324,0.0426136,0.0317221,0.0557823,0.0239899,0.0124611,0.0189166,0.021419,0.0276074,0.307004,0.0247295,0.0153677,0.0179334,0.0157593,0.04,0.0372093,0.0440487,0.014556,0.0202177,0.0295031,0.0110294,0.0175055,0.0216802,0.0255319,0.0335366,0.170274,0.0191304,0.0285006,0.0389222,0.014885,0.0320611,0.0213904,0.0220493,0.0441324,0.0477976,0.037234,0.00752212,0.03,0.0715397,0.501238,0.0283505,0.0106007,0.0311321,0.0306667,0.137087,0.00592593,0.0279543,0.0422961,0.0492881,0.0238095,0.0167754,0.0287206,0.015855,0.0281849,0.0170877,0.0102339,0.0164286,0.0218509,0.0204342,0.0213777,0.0140533,0.036036,0.030303,0.0181159,0.0344403,0.0597723,0.0265487,0.0287293,0.0211335,0.101727,0.0423977,0.0154341,0.0376671,0.0630397,0.0385604,0.0237113,0.00898045,0.0983471,0.0103093,0.0201511,0.00149701,0.025344,0.0195783,0.0303327,0.0186528,0.02213,0.0418455,0.0193705,0.00865801,0.0149254,0.0211685,0.0184237,0.00967558,0.0164609,0.0166512,0.0449309,0.02213,0.0309789,0.0332458,0.0466798,0.0646193,0.0194805,0.0145349,0.0157155,0.0304233,0.0146125,0.0184014,0.0167832,0.0269841,0.0346476,0.0147929,0.0316265,0.0231884,0.0114943,0.0185644,0.0285714,0.0315375,0.0392781,0.0234708,0.0442055,0.0235627,0.0134953,0.0250737,0.00696864,0.00978916,0.0291595,0.0351377,0.0127168,0.0546075,0.0479042,0.0317848,0.035014,0.0104634,0.0306966,0.0231523,0.0228717,0.0273109,0.00637899,0.0489335,0.0538985,0.0235457,0.030012,0.0459574,0.0117493,0.014486,0.0588972,0.0586767,0.027927,0.0173348,0.0122951,0.0321616,0.0252976,0.0314735,0.0127346,0.00879604,0.0159363,0.0174002,0.0338542,0.0190503,0.0262919,0.0174029,0.0245399,0.0915033,0.10251,0.0220913,0.0174368,0.0140845,0.0513834,0.0579588,0.0382387,0.0194805,0.0205314,0.00939746,0.0318841
DB00116,0.0477941,0.0623229,0.0294416,0.0595358,0.0446602,1,0.0423892,0.022022,0.0177778,0.0488798,0.0392157,0.00662252,0.0448718,0.053719,0.0214669,0.0107296,0.0412147,0.0455531,0.0743982,0.0137566,0.0298805,0.0353982,0.0452586,0.0590631,0.0149701,0.0337553,0.0313199,0.0197664,0.026616,0.0866667,0.0960452,0.0369748,0.0247191,0.0164103,0.0197133,0.0347826,0.0379939,0.0353201,0.0195258,0.0162933,0.03,0.0561331,0.0237069,0.308677,0.0307377,0.0243902,0.0240175,0.0112179,0.0165746,0.0181818,0.035225,0.0276008,0.067474,0.016632,0.022508,0.059322,0.0201835,0.0410367,0.0214592,0.0457746,0.0482673,0.0440678,0.0280702,0.0057943,0.0561122,0.026971,0.0570539,0.0272109,0.00911854,0.032147,0.0546448,0.0729927,0.00622407,0.0318792,0.0226804,0.0213904,0.0201439,0.0135593,0.047619,0.0188406,0.0257143,0.00945017,0.0184426,0.052226,0.0452174,0.0485269,0.0161039,0.00856898,0.0139665,0.022942,0.0333333,0.0452342,0.0278396,0.0254777,0.0293296,0.0199531,0.0247046,0.0297619,0.0213864,0.0264386,0.0474747,0.0319328,0.0390117,0.00704225,0.0290118,0.0154905,0.0169323,0.0021097,0.0286195,0.0298507,0.0250597,0.0246753,0.0521236,0.0223684,0.0334928,0.0181452,0.0165138,0.0295015,0.0229885,0.00636943,0.018622,0.0134379,0.02886,0.0400763,0.024077,0.0206825,0.0219298,0.0180055,0.0176871,0.0327869,0.0197239,0.0227273,0.0144613,0.0108974,0.0471513,0.0198482,0.0151057,0.0336134,0.0293501,0.0188457,0.0220441,0.0362438,0.0485075,0.0154639,0.0221354,0.0306291,0.0287443,0.0182648,0.0238971,0.0266393,0.00522466,0.0150442,0.0371134,0.0228311,0.0224888,0.0461847,0.0396947,0.0268562,0.0283019,0.0104822,0.0287879,0.0116525,0.0338409,0.0234987,0.00565885,0.0304976,0.0282486,0.0500963,0.0278638,0.18016,0.0157303,0.00713194,0.0366242,0.0364501,0.0159787,0.103704,0.0166453,0.0304083,0.0465116,0.031405,0.0107444,0.00922509,0.0178253,0.0457516,0.0544815,0.00683101,0.0285088,0.0198198,0.0463576,0.0551948,0.0373945,0.0548523,0.0209864,0.00641975,0.0299184,0.0126307,0.0188679,0.0176871,0.0516963,0.00740741,0.0176817
DB00117,0.0732673,0.0302234,0.019697,0.0365497,0.0485021,0.0423892,1,0.0287443,0.0540541,0.251799,0.0295858,0.0176991,0.165354,0.141892,0.0454545,0.015625,0.241071,0.175,0.171875,0.0164745,0.0538922,0.198113,0.170732,0.243056,0.015015,0.164063,0.0714286,0.0127551,0.0418848,0.174603,0.100457,0.0866142,0.0849057,0.015625,0.0604651,0.184211,0.136213,0.196262,0.031746,0.015456,0.0545455,0.143836,0.12605,0.0470163,0.0588235,0.141509,0.132743,0.0175439,0.0180412,0.057971,0.0561798,0.134921,0.117409,0.015949,0.0172414,0.104167,0.0539216,0.236842,0.0268908,0.0284553,0.0347648,0.0336879,0.0515021,0.00635471,0.100592,0.107914,0.0462963,0.052,0.009375,0.0182482,0.0484582,0.0706522,0.0212766,0.0458015,0.0472973,0.0192771,0.0193906,0.0164534,0.0368852,0.0225989,0.0357143,0.0133657,0.0331126,0.0102389,0.027668,0.0272374,0.009375,0.0108827,0.0158311,0.0220588,0.0190311,0.0443686,0.141176,0.0195759,0.0285714,0.0114943,0.0285235,0.0409357,0.0106486,0.0290323,0.0205279,0.0340909,0.0292135,0.00806452,0.0365535,0.0246914,0.021021,0.0075188,0.0184971,0.0923077,0.019685,0.0181818,0.0461538,0.016317,0.0302013,0.0314465,0.0289855,0.0151286,0.0199557,0.0081367,0.0351759,0.0162162,0.0276243,0.0461538,0.0241379,0.0141287,0.0183044,0.0198735,0.0226131,0.0316456,0.0131579,0.0209205,0.0123928,0.00897959,0.0378378,0.0166305,0.0184615,0.0342466,0.111111,0.0155039,0.0304878,0.0212766,0.0424528,0.0245902,0.0183486,0.0168729,0.0241692,0.014733,0.0285714,0.0884354,0.00811688,0.0125628,0.0215054,0.00909091,0.0333333,0.0339233,0.114754,0.0334448,0.035533,0.0291971,0.0180723,0.014876,0.0344828,0.0230947,0.00420954,0.0273038,0.0292276,0.0569948,0.0419355,0.0342772,0.0109562,0.00738916,0.0402685,0.0398671,0.0144231,0.0306122,0.0225734,0.015625,0.115942,0.0168161,0.00930714,0.00697134,0.0313901,0.02,0.0401606,0.00461285,0.0118644,0.0273973,0.127119,0.0342577,0.0359281,0.0460526,0.00958466,0.00652432,0.016624,0.0137966,0.0169014,0.0226131,0.0231023,0.0078064,0.0535714
DB00118,0.0155844,0.0144462,0.0176523,0.0179795,0.0244519,0.022022,0.0287443,1,0.00844595,0.0266876,0.0159509,0.00676819,0.0345964,0.0350877,0.0230548,0.00494234,0.026534,0.035,0.0361842,0.637313,0.0123457,0.0270728,0.0365449,0.0264798,0.0131464,0.0261011,0.010101,0.0224719,0.0319149,0.0345964,0.03,0.0285714,0.0101868,0.0134529,0.0231214,0.0284281,0.0236613,0.027027,0.0187354,0.013369,0.0123839,0.0352,0.0250417,0.0271581,0.0126183,0.0203735,0.0218487,0.0078534,0.0127315,0.0219298,0.0136571,0.0263591,0.0257802,0.0136116,0.00780234,0.0240385,0.0514372,0.0281457,0.0263405,0.0110345,0.015448,0.0191755,0.013986,0.010919,0.0167939,0.0144,0.0193662,0.0178082,0.0100629,0.0107108,0.0169972,0.0198366,0.00645161,0.0120805,0.00793651,0.013468,0.0119332,0.698361,0.0152355,0.0132371,0.0312876,0.0289742,0.0111288,0.0133333,0.0095498,0.0233838,0.0130561,0.0273224,0.00581395,0.0147059,0.010397,0.0194553,0.0250965,0.0165593,0.0103806,0.00699301,0.0101664,0.00765697,0.019398,0.0152478,0.0190641,0.0189445,0.012959,0.00760456,0.0167598,0.0153203,0.024735,0.00490998,0.0149142,0.0146819,0.0121704,0.00979325,0.0118343,0.0166482,0.00897436,0.00782473,0.0102041,0.0176835,0.0107527,0.010582,0.0117994,0.175676,0.0167064,0.0118343,0.0183486,0.010772,0.0151915,0.0106784,0.0435294,0.00783699,0.0147059,0.00555556,0.0178218,0.0106007,0.00749625,0.0145239,0.00996264,0.00798722,0.0260586,0.00803213,0.00933126,0.015873,0.0144718,0.00968188,0.00763359,0.0146628,0.0111111,0.0157635,0.0101597,0.0110585,0.0138122,0.0102121,0.0150709,0.0107422,0.0198758,0.0189819,0.025,0.0180645,0.0118343,0.00811688,0.0111248,0.0389364,0.014885,0.0255556,0.00651341,0.0195822,0.0381558,0.0103397,0.0268542,0.017331,0.0135593,0.0085796,0.0233161,0.0232258,0.0123457,0.041225,0.16771,0.0122231,0.02589,0.0138889,0.0125174,0.00792752,0.011396,0.00967742,0.0193103,0.00455451,0.00654206,0.012931,0.0268007,0.0220183,0.0121581,0.00947867,0.0229991,0.00833719,0.00950119,0.00818331,0.00718563,0.0435294,0.0115237,0.00911681,0.039557
DB00119,0.00603015,0.00718391,0.00854701,0.00481541,0.00772798,0.0177778,0.0540541,0.00844595,1,0.0705882,0.023166,0.0666667,0.101695,0.075,0.0652174,0,0.12,0.115385,0.0983607,0.00564972,0.0813954,0.157895,0.12963,0.0666667,0.00679117,0.1,0.193548,0.00708215,0.0642202,0.101695,0.0394737,0.0376344,0.230769,0.0071048,0.0431655,0.155556,0.0237154,0.153846,0.0132013,0.00701754,0.0833333,0.0769231,0.159091,0.0163934,0.0972222,0.225806,0.184211,0.0197044,0.0162866,0.0381679,0.0606061,0.132075,0.0376344,0.00727273,0.044335,0.0857143,0.00763359,0.115385,0.0134357,0.0179641,0.0192771,0.0141988,0.0253165,0.00302297,0.0618557,0.0289855,0.0119048,0.011236,0.0041841,0.0106383,0.0333333,0.0230263,0.0338983,0.0380435,0.0285714,0.0119048,0.0106383,0.00424628,0.0179641,0.00722022,0.027972,0.00670241,0.057971,0.00499376,0.0172414,0.0168539,0.00393185,0.00668449,0.00332226,0.0121212,0.0201613,0.0229358,0.0101215,0.00556586,0.0162338,0.00451467,0.0056926,0.0215054,0.0105152,0.021645,0.0149007,0.0215054,0.0245902,0.003885,0.00708215,0.00606061,0.00844595,0,0.0126904,0.134615,0.013986,0.00828729,0.0803571,0.00569801,0.0228311,0.0384615,0.031746,0.0120482,0.00533333,0.00434405,0.0336134,0.00417537,0.0212014,0.0803571,0.00943396,0.00535714,0.00619835,0.00383877,0.00934579,0.025641,0.00328947,0.0189873,0.00720165,0.0069869,0.0480769,0.00684932,0.00404858,0.030303,0.046875,0.00684932,0.0361446,0.0199005,0.0222222,0.0308642,0.0112045,0.0123305,0.015873,0.0151844,0.0991736,0.0131579,0.00373134,0.0140252,0.0174825,0.00639659,0.0117647,0.0114566,0.0239044,0.018018,0.0431034,0.0357143,0.00790514,0.00759013,0.0163043,0.0140845,0.00340301,0.0139535,0.00576369,0.0521739,0.025641,0.0166389,0.00539374,0.00258231,0.0225225,0.0222222,0.00892857,0.00943396,0.010929,0.0132979,0.0923077,0.012285,0.00337079,0.00745033,0.027972,0.030137,0.0232558,0.00168862,0.011811,0.0289855,0.162791,0.0110092,0.00925926,0.117647,0.00365631,0.0018622,0.014245,0.00263713,0.0109091,0.00934579,0.0412844,0.00582848,0.0444444
DB00120,0.035225,0.0782361,0.0205047,0.0910543,0.0992248,0.0488798,0.251799,0.0266876,0.0705882,1,0.0320513,0.0229885,0.207921,0.172131,0.0515464,0.0196078,0.313953,0.223404,0.215686,0.0137221,0.0638298,0.2625,0.216495,0.429907,0.015625,0.205882,0.0930233,0.0105263,0.0484848,0.22,0.11399,0.0964912,0.1125,0.0162866,0.0466321,0.238636,0.149091,0.259259,0.0224719,0.0161031,0.0647482,0.175,0.16129,0.0473485,0.0708661,0.1875,0.172414,0.019305,0.019337,0.0432432,0.0657895,0.17,0.322751,0.0166389,0.0426357,0.127119,0.016129,0.306818,0.0281195,0.0509259,0.0549451,0.0752896,0.0895522,0.00645161,0.15942,0.52381,0.0939597,0.0675676,0.0102041,0.0330097,0.0871795,0.168254,0.026087,0.0735931,0.264706,0.0365535,0.0426829,0.0133843,0.0707547,0.0275229,0.0384615,0.0138018,0.04,0.0117371,0.0588235,0.0484582,0.0101716,0.011236,0.0436046,0.0653951,0.0273723,0.0646388,0.105368,0.0187075,0.0364146,0.0224033,0.0482143,0.206349,0.0109235,0.0892193,0.0452418,0.0555556,0.0434783,0.00822123,0.0741259,0.0229358,0.021875,0.00934579,0.0178571,0.115385,0.0512821,0.0193237,0.0787879,0.056701,0.0330882,0.037594,0.0331492,0.0189573,0.0260047,0.00831255,0.0404624,0.0131827,0.0484848,0.0787879,0.0883534,0.0231023,0.0228175,0.0184672,0.0214477,0.0787402,0.0167683,0.10101,0.0127077,0.0125523,0.0779221,0.0199557,0.0627178,0.0869565,0.137615,0.0184049,0.028777,0.0396825,0.0833333,0.0566038,0.0346535,0.0162037,0.0468227,0.0214008,0.0326087,0.0806452,0.00847458,0.0116732,0.0339806,0.0232108,0.00961538,0.0465116,0.141818,0.0884615,0.0658683,0.036036,0.0721649,0.015544,0.0608696,0.0425,0.00426136,0.0912698,0.0146648,0.10559,0.0839416,0.0372671,0.0112474,0.0100376,0.0597015,0.0590406,0.0285714,0.0216216,0.0190931,0.0199253,0.142857,0.0256112,0.00956429,0.00711462,0.035533,0.0334129,0.0688073,0.00565536,0.0269784,0.0310881,0.163043,0.0340136,0.0378947,0.0991736,0.0133779,0.00905797,0.0377868,0.0278215,0.046875,0.0214477,0.0441176,0.00796813,0.0633803
