DRUGBANK_ID,DB06689,DB06691,DB06694,DB06695,DB06696,DB06697,DB06698,DB06700,DB06701,DB06702,DB06704,DB06705,DB06706,DB06707,DB06708,DB06709,DB06710,DB06711,DB06712,DB06713,DB06714,DB06716,DB06717,DB06718,DB06724,DB06725,DB06729,DB06730,DB06736,DB06737,DB06738,DB06742,DB06751,DB06756,DB06764,DB06766,DB06768,DB06769,DB06770,DB06771,DB06772,DB06774,DB06775,DB06777,DB06781,DB06782,DB06784,DB06786,DB06787,DB06788,DB06789,DB06791,DB06792,DB06793,DB06794,DB06795,DB06799,DB06800,DB06802,DB06803,DB06804,DB06809,DB06810,DB06811,DB06813,DB06816,DB06817,DB06819,DB06820,DB06823,DB06824,DB06825,DB06826,DB06827,DB07615,DB08439,DB08604,DB08792,DB08795,DB08796,DB08797,DB08798,DB08799,DB08800,DB08801,DB08802,DB08803,DB08804,DB08806,DB08807,DB08808,DB08810,DB08811,DB08814,DB08815,DB08816,DB08818,DB08819,DB08820,DB08822,DB08823,DB08824,DB08826,DB08827,DB08828,DB08834,DB08835,DB08842,DB08847,DB08860,DB08864,DB08865,DB08867,DB08868,DB08871,DB08872,DB08873,DB08874,DB08875,DB08877,DB08880,DB08881,DB08882,DB08883,DB08884,DB08887,DB08889,DB08890,DB08893,DB08895,DB08896,DB08897,DB08899,DB08901,DB08903,DB08905,DB08906,DB08907,DB08908,DB08909,DB08910,DB08911,DB08912,DB08916,DB08918,DB08922,DB08924,DB08928,DB08930,DB08931,DB08932,DB08933,DB08934,DB08936,DB08941,DB08943,DB08944,DB08946,DB08947,DB08954,DB08957,DB08958,DB08964,DB08965,DB08966,DB08967,DB08968,DB08970,DB08971,DB08973,DB08974,DB08976,DB08979,DB08981,DB08982,DB08983,DB08984,DB08987,DB08990,DB08991,DB08992,DB08993,DB08994,DB08995,DB08996,DB08998,DB09000,DB09002,DB09003,DB09006,DB09008,DB09009,DB09012,DB09014,DB09015,DB09016,DB09017,DB09018,DB09019,DB09020
DB00014,0.0135397,0.0313316,0.0240856,0.0299472,0.0292517,0.00713502,0.0181471,0.0288548,0.0263158,0.0359937,0.0210124,0.0252964,0.0138203,0.0228938,0.0222085,0.00982318,0.0101637,0.0531646,0.0140429,0.0105263,0.0156403,0.0251397,0.0250329,0.0132159,0.00303644,0.0154778,0.0198347,0.0126304,0.0373514,0.0275482,0.020654,0.0228672,0.0174497,0.00700701,0.0410742,0.0250643,0.00903614,0.0249622,0.017982,0.0159011,0.0141973,0.0375874,0.0492611,0.0126655,0.00998752,0.00603015,0.00780488,0.00872865,0.0212044,0.211758,0.00983768,0.351227,0.00303644,0.0241667,0.0142857,0.0224609,0.003003,0.0154882,0.0320902,0.0198728,0.0268022,0.025974,0.0134257,0.00777454,0.0532847,0.0155721,0.0236769,0.0244141,0.0258216,0.0156863,0.00399202,0.621531,0.0169924,0.0702741,0.0264848,0.0239617,0.0160285,0.0299228,0.0489168,0.0244073,0.0280736,0.0182292,0.0260191,0.0307287,0.0284091,0.0245842,0.0279898,0.0138198,0.0245763,0.0358779,0.0231729,0.0246453,0.0150524,0.0183566,0.0305623,0.0184355,0.0140647,0.0248597,0.0495334,0.0282236,0.0120914,0.0289548,0.00744879,0.0433938,0.0185582,0.0151261,0.054358,0.0105566,0.0202703,0.034188,0.0181675,0.0189189,0.016129,0.0273843,0.00885897,0.0188004,0.0600522,0.0143388,0.0246305,0.0210312,0.0202206,0.0327456,0.025641,0.0170157,0.0401046,0.0133715,0.147082,0.267627,0.0346535,0.0326616,0.0172786,0.0178174,0.0176271,0.0235294,0.0290268,0.0108883,0.00968992,0.0224127,0.00595238,0.0255242,0.0573585,0.013882,0.0175439,0.0209877,0.0227273,0.0532544,0.024952,0.0255144,0.0285063,0.0257053,0.0200308,0.0160584,0.0212629,0.0277529,0.035009,0.0293663,0.0210623,0.0332734,0.0130548,0.0395431,0.0250447,0.0119926,0.0226171,0.0231936,0.0223077,0.0247161,0.0384924,0.00896226,0.0108321,0.00810313,0.0235814,0.029682,0.0264784,0.025,0.0264682,0.0276817,0.0264848,0.0362976,0.025974,0.00500417,0.0347667,0.0193076,0.0195759,0.016129,0.0282943,0.0294861,0.0234321,0.0249554,0.0326667,0.0226481,0.0181818,0.0193603,0.0186335,0.0230701,0.00974026,0.0360952,0.016875,0.0197764,0.0287958,0.0223214
DB00035,0.0176871,0.0375147,0.0167866,0.0304748,0.028838,0.00326797,0.0268097,0.0369914,0.0444178,0.0427699,0.0226064,0.0353063,0.0153631,0.0225282,0.0187688,0.00831025,0.0101764,0.0304348,0.0151515,0.00994036,0.0137174,0.0152091,0.0236349,0.00682594,0.00436047,0.0151134,0.0309051,0.0137886,0.0244444,0.0214225,0.0266512,0.0237248,0.0167224,0.00857143,0.0408998,0.0164835,0.0100287,0.0252672,0.0390173,0.0164051,0.0146939,0.0472255,0.0759494,0.011088,0.00757935,0.00573888,0.00964187,0.00640205,0.0331429,0.108207,0.00863061,0.180937,0.00436047,0.0368304,0.0133333,0.031768,0.00429185,0.0122997,0.0348837,0.0207684,0.0318066,0.04,0.00840336,0.00545703,0.0642458,0.0186757,0.0299296,0.0490196,0.027439,0.0137741,0.00857143,0.351037,0.0204778,0.0803887,0.0208551,0.0336842,0.0144753,0.0407056,0.0637733,0.0182927,0.0241935,0.0210526,0.0449704,0.0380048,0.0195382,0.0173042,0.023569,0.0138797,0.0400458,0.0242248,0.0180072,0.0258373,0.0113177,0.0152582,0.0221239,0.0145433,0.0142096,0.0316456,0.0148472,0.0176355,0.0123967,0.0330357,0.00773196,0.0347277,0.0162308,0.0168124,0.0883905,0.013459,0.0243572,0.0266129,0.0154004,0.0151261,0.0170849,0.0341207,0.00671937,0.023199,0.0816993,0.00814026,0.0176056,0.010906,0.0253165,0.014383,0.0177805,0.0153846,0.0505882,0.0146667,0.190976,0.496183,0.0541436,0.0232959,0.0127389,0.0258621,0.0143581,0.0195931,0.0189189,0.0110497,0.00743007,0.0179007,0.0056338,0.0443038,0.0606936,0.0127684,0.00914634,0.0157539,0.0357143,0.0426716,0.047749,0.0282609,0.030137,0.0167428,0.0199203,0.0167598,0.0239044,0.044335,0.0466258,0.0167488,0.0303413,0.0241255,0.00816803,0.0690073,0.0317073,0.0127065,0.0254777,0.0266667,0.0259222,0.0198347,0.0364583,0.00822368,0.00747126,0.00494845,0.0158582,0.0149123,0.039759,0.0426357,0.0329308,0.0230415,0.0197917,0.0331288,0.0362998,0.00332594,0.0439699,0.0258333,0.0292524,0.010589,0.0210084,0.0267261,0.0180412,0.0391198,0.0296785,0.0234192,0.0239753,0.0178771,0.0211907,0.041514,0.00967118,0.0244681,0.00835866,0.01373,0.0280702,0.0254854
DB00091,0.0208333,0.0170828,0.00958904,0.0128205,0.0357143,0.00778486,0.00924499,0.0181311,0.0242915,0.0223964,0.00611621,0.0172216,0.0215589,0.0202312,0.0105434,0.0148026,0.0110051,0.00722022,0.0115789,0.0129032,0.0194805,0.0162003,0.0168739,0.00728597,0.00519931,0.0119816,0.00611247,0.0155918,0.0124844,0.0140713,0.0183968,0.0148448,0.00729262,0.0119048,0.0134078,0.00851789,0.0206186,0.0139635,0.00829187,0.00921659,0.0132253,0.0237467,0.0447284,0.0150602,0.01002,0.00682594,0.0113821,0.00672043,0.0114796,0.0294648,0.00921942,0.0637795,0.00519931,0.0212235,0.0111576,0.00792393,0.00510204,0.00501543,0.00906736,0.00925926,0.010101,0.0116448,0.0168687,0.00643087,0.0289133,0.00740056,0.0104962,0.0126984,0.00896861,0.0195759,0.00337268,0.0976845,0.0410596,0.0610687,0.011655,0.0139697,0.00412655,0.0266041,0.0675808,0.0085796,0.00773994,0.00793651,0.0157895,0.0173333,0.0126953,0.0171891,0.0152091,0.0142552,0.0178571,0.00960512,0.0123626,0.0267094,0.00974314,0.00802139,0.0232745,0.0174455,0.032032,0.0383234,0.00863724,0.00555942,0.021547,0.0285152,0.00750751,0.0152284,0.00793651,0.0166909,0.0423358,0.014218,0.0319489,0.0130776,0.00688073,0.00919963,0.011274,0.0104478,0.0095317,0.0253879,0.11489,0.0239071,0.00868726,0.00643974,0.0130435,0.00737705,0.00780742,0.00263158,0.0235602,0.0188088,0.0790306,0.15582,0.019347,0.0346487,0.00804829,0.0105263,0.0101946,0.0122249,0.00793651,0.0104556,0.00919963,0.0169492,0.0100503,0.012766,0.0377358,0.00677757,0.004971,0.0146939,0.0201613,0.0263425,0.0138889,0.0145808,0.017531,0.0107261,0.00883978,0.00718686,0.021758,0.0165517,0.0305556,0.00876232,0.0217707,0.025,0.013459,0.0293333,0.0137931,0.0117994,0.0376214,0.0887574,0.0166113,0.0162896,0.027907,0.00875657,0.0192427,0.00779896,0.00617284,0.010628,0.00939597,0.0116279,0.0297767,0.0077821,0.00930233,0.0238095,0.0251656,0.00379267,0.0285714,0.0209663,0.00962696,0.0136006,0.0117509,0.00620347,0.0132075,0.00956284,0.00797166,0.010596,0.0210438,0.0204082,0.0250284,0.0150479,0.0111188,0.0228091,0.00412882,0.0104302,0.0226365,0.00962861
DB00093,0.0181543,0.0292249,0.0144357,0.0291045,0.0336058,0.00343643,0.0282738,0.0240642,0.0501981,0.0417124,0.0251108,0.0382883,0.0171607,0.0150479,0.0150435,0.00927357,0.01,0.0294811,0.0163099,0.0097561,0.0184049,0.0153846,0.0198618,0.00653207,0.00489396,0.0143113,0.027512,0.0138026,0.0241838,0.0191606,0.0239899,0.0247074,0.0142222,0.0096,0.041989,0.0175146,0.00961538,0.0229645,0.0420712,0.0188679,0.0147306,0.037037,0.0798122,0.010219,0.00736377,0.00481541,0.00920245,0.00617012,0.0375469,0.0776819,0.00962696,0.197755,0.00489396,0.0401949,0.0119681,0.0228311,0.00480769,0.00878533,0.0382166,0.0133929,0.0222222,0.0281294,0.00769231,0.00607903,0.0616302,0.0180995,0.0214552,0.0514821,0.0196078,0.0122511,0.0112179,0.268791,0.021118,0.0769231,0.018018,0.0295119,0.00922266,0.0251852,0.0662879,0.0205224,0.0208024,0.0165605,0.0452781,0.0296392,0.0209324,0.0185728,0.0194884,0.0153097,0.0386052,0.0261233,0.0157687,0.0278351,0.0103093,0.0115237,0.0250195,0.0127427,0.0132953,0.0331808,0.0130475,0.0122867,0.0128963,0.0304762,0.0056899,0.0334448,0.015444,0.0141143,0.0869565,0.0149701,0.024024,0.0221843,0.0110619,0.0143241,0.0144124,0.0244253,0.00692464,0.0241611,0.0870322,0.00721785,0.0140713,0.0134529,0.0180055,0.011191,0.0199485,0.0163793,0.035443,0.0162963,0.196388,0.513419,0.043943,0.0249077,0.0116959,0.0268041,0.0135013,0.0175159,0.0177557,0.0101818,0.00722674,0.0129199,0.00629921,0.048951,0.0632124,0.0121212,0.00970089,0.0150794,0.0405759,0.0500501,0.0531915,0.021102,0.0273185,0.0177563,0.0149733,0.015984,0.0245555,0.041779,0.0332005,0.0159236,0.0335196,0.0238095,0.00637755,0.0575916,0.0225464,0.0140449,0.03125,0.0293333,0.0258065,0.0193492,0.0372041,0.008,0.00720288,0.00467886,0.00996016,0.0150094,0.0409511,0.0368272,0.0371257,0.018797,0.020316,0.0336927,0.0397946,0.00362757,0.037037,0.0230088,0.0306243,0.00763359,0.022805,0.0229469,0.0174152,0.0374833,0.0253275,0.0178344,0.0237705,0.0157959,0.0206972,0.0373333,0.00879567,0.0265896,0.00886382,0.0124844,0.033419,0.0212202
DB00104,0.0159884,0.0220049,0.0217391,0.0203341,0.0467626,0.00745763,0.0257511,0.0232558,0.0552699,0.0438972,0.0227273,0.0281996,0.0195489,0.0336474,0.021875,0.0119225,0.00981767,0.0715137,0.0179104,0.0109664,0.0207101,0.032967,0.0177066,0.0153392,0.00469484,0.0157618,0.0254925,0.0121869,0.0505415,0.0334539,0.0207317,0.0329949,0.0183246,0.00921659,0.0509761,0.0280528,0.0170543,0.020284,0.0436137,0.0162482,0.0205193,0.0345679,0.051395,0.012931,0.00824842,0.00928793,0.00884956,0.0065388,0.035109,0.138639,0.00888099,0.666274,0.00469484,0.0377358,0.0194301,0.0219619,0.00153374,0.0121442,0.05125,0.0196507,0.0241935,0.0202156,0.0199795,0.010279,0.04689,0.0222025,0.0181653,0.0463378,0.0244941,0.014771,0.00921659,0.357696,0.0229192,0.0840259,0.0321865,0.0309392,0.0166881,0.0213371,0.0444243,0.0247027,0.0348331,0.017284,0.0360248,0.0223048,0.0338664,0.024952,0.0249406,0.0129604,0.0287081,0.0489074,0.024359,0.0271084,0.0152027,0.02,0.0340294,0.022933,0.0330813,0.0379888,0.0610105,0.0265306,0.0132556,0.0221402,0.00964187,0.0481728,0.0208333,0.0145631,0.0557823,0.0129496,0.024602,0.0372881,0.017316,0.0193492,0.0131004,0.0263889,0.008478,0.0220207,0.0365854,0.017601,0.0240518,0.0284698,0.0201072,0.0352847,0.0254615,0.0255319,0.026764,0.0128023,0.172786,0.222736,0.0402299,0.030825,0.0172084,0.0292044,0.015873,0.0211433,0.0347518,0.00927247,0.00984781,0.0308748,0.00757576,0.0430108,0.0374753,0.0161774,0.0175579,0.0195313,0.0327044,0.0508309,0.0542522,0.0310345,0.0210526,0.028777,0.016684,0.0205479,0.0317195,0.0296392,0.046875,0.032563,0.0309556,0.0457516,0.0174782,0.0597205,0.0297158,0.0121786,0.0373303,0.0178571,0.0251046,0.0250865,0.0429989,0.00958827,0.0142857,0.00632111,0.0226155,0.0345472,0.0356234,0.0326975,0.0147895,0.0194411,0.0344828,0.0325521,0.0372208,0.00469484,0.0330251,0.0314136,0.0261959,0.0193103,0.0266963,0.0368171,0.0252708,0.030888,0.0318143,0.0197775,0.02,0.0225386,0.0168955,0.033419,0.0093147,0.043379,0.0183267,0.0133172,0.0310559,0.0218228
DB00116,0.0306122,0.0288462,0.0219595,0.0475779,0.0275424,0.003885,0.0254902,0.0363951,0.0363636,0.0317041,0.0233463,0.0244565,0.0232558,0.0268336,0.0210816,0.0125261,0.0121852,0.0247093,0.0184275,0.0126482,0.0184805,0.0201097,0.0336735,0.00992064,0.00674157,0.0211416,0.0313433,0.0164062,0.030349,0.0304017,0.0238854,0.0333333,0.0231335,0.0131291,0.0278515,0.015444,0.0153846,0.0317662,0.0236559,0.0224913,0.0144731,0.0420712,0.154867,0.0175732,0.00856531,0.0110375,0.0144928,0.00714286,0.0232198,0.0347086,0.00935829,0.0454545,0.00674157,0.0223547,0.0313043,0.0349076,0.00218341,0.00938775,0.0352,0.0393258,0.0327273,0.0330275,0.00955056,0.00610998,0.188904,0.0116279,0.040404,0.043299,0.0281125,0.0292276,0.010917,0.0516325,0.0315457,0.0515021,0.0380818,0.0437853,0.0204778,0.0396825,0.0323276,0.0131291,0.0359281,0.0344828,0.025641,0.0293638,0.0191441,0.0127462,0.0308166,0.0157356,0.0277778,0.0382653,0.0324232,0.0480405,0.0202429,0.041876,0.016,0.0190088,0.0204313,0.0265363,0.0360767,0.0273438,0.01,0.0269663,0.0247148,0.0574257,0.041225,0.0168269,0.132296,0.0179641,0.0511247,0.040404,0.0346741,0.0255048,0.0190067,0.0361217,0.00699301,0.0329861,0.0305052,0.0118431,0.0328054,0.0223167,0.0539033,0.036862,0.0164993,0.0191532,0.0416667,0.019685,0.056872,0.0762631,0.061194,0.0227766,0.0332542,0.0209618,0.0323276,0.0325581,0.0144346,0.0149626,0.00930005,0.0275229,0.00856531,0.0337478,0.0488998,0.0231608,0.0188501,0.0249077,0.0245098,0.0244186,0.0253906,0.0338235,0.0302288,0.0148561,0.0399467,0.0192077,0.0225711,0.0289116,0.037415,0.0220207,0.0196078,0.0376712,0.0197044,0.0372771,0.0360825,0.0127971,0.0255319,0.0100334,0.0261097,0.0143296,0.0287278,0.00884956,0.00868403,0.00549954,0.0522388,0.0292793,0.0247934,0.0763359,0.0130624,0.0386473,0.0337079,0.0292096,0.038835,0.00761035,0.0690909,0.0291667,0.0246377,0.0206677,0.0110957,0.0319149,0.0150862,0.0288136,0.0161616,0.0327332,0.0169332,0.0324575,0.023968,0.0286678,0.0137931,0.0212766,0.0121382,0.0206349,0.022508,0.0325901
DB00117,0.0580645,0.0273038,0.0232558,0.0116279,0.0227642,0.00316456,0.045977,0.0404858,0.0362319,0.0328638,0.0451977,0.0222772,0.0362319,0.0401786,0.0117801,0.0434783,0.0100446,0.0196078,0.014553,0.0107527,0.0197368,0.0382775,0.0197269,0.0110827,0.0288462,0.0146104,0.0204082,0.0115911,0.0336391,0.0252951,0.0307167,0.0371747,0.00958466,0.042735,0.0260047,0.0142653,0.0614035,0.023913,0.0546875,0.0169287,0.00634921,0.0376712,0.103659,0.0115607,0.00718016,0.0353982,0.041958,0.00509915,0.0223642,0.0653482,0.00689061,0.0415184,0.0288462,0.0298507,0.0327869,0.0516129,0.00854701,0.00756144,0.030303,0.0178571,0.0318182,0.0277778,0.0111111,0.013245,0.0567108,0.00489396,0.0191304,0.0714286,0.031401,0.0857143,0.0166667,0.0316206,0.0364238,0.0289855,0.0206718,0.0205128,0.0198413,0.0578035,0.0215232,0.0138648,0.0470588,0.0212014,0.0239726,0.0283688,0.0180505,0.0152381,0.025,0.0106383,0.0252366,0.0238095,0.0272374,0.0187891,0.0136778,0.029304,0.0139064,0.00869565,0.021978,0.0260417,0.0230088,0.0114226,0.00953778,0.019573,0.0259067,0.0111266,0.0130597,0.00869565,0.0904977,0.0496894,0.0949367,0.0237741,0.0125,0.0179445,0.0091673,0.0408163,0.00615069,0.0452675,0.0150892,0.0128332,0.0141844,0.0213816,0.0319635,0.0174966,0.0112782,0.00903614,0.0510204,0.0350877,0.0376648,0.042328,0.0422535,0.0255537,0.01341,0.0188285,0.00816994,0.0145119,0.00873362,0.010333,0.00643275,0.0152207,0.031746,0.04329,0.027833,0.00693842,0.0095498,0.0131579,0.032491,0.0246679,0.0635838,0.0284091,0.0132159,0.0148448,0.0185185,0.0221328,0.0174165,0.0232558,0.0346154,0.0275229,0.0266667,0.0950413,0.0332103,0.0454545,0.0396825,0.0191388,0.0380435,0.0233463,0.037296,0.0108865,0.0249377,0.00803213,0.0103717,0.00597177,0.0222672,0.019573,0.0333333,0.0469484,0.0229226,0.0375427,0.0180412,0.0530612,0.0415225,0.0126183,0.0600858,0.0286169,0.0166667,0.00963597,0.0104167,0.015015,0.010084,0.0230769,0.0121766,0.0320285,0.0192837,0.0380952,0.0288462,0.0228137,0.0113285,0.0271003,0.00814111,0.0272109,0.0314685,0.0357143
DB00118,0.0125786,0.0129702,0.0108696,0.0158014,0.0462264,0.0120226,0.0137825,0.0137552,0.0199734,0.0188261,0.0091047,0.0170843,0.0130081,0.0171184,0.0104839,0.0162866,0.0109489,0.0083632,0.0104384,0.0135617,0.00953895,0.016035,0.015873,0.0103093,0.010327,0.0100548,0.0109622,0.0140845,0.0111248,0.0102136,0.0103359,0.0187919,0.00633484,0.013468,0.0133038,0.0127551,0.0221088,0.0182013,0.00654664,0.0224458,0.00804063,0.0142487,0.0263975,0.013463,0.00847458,0.00674536,0.0128824,0.00759946,0.011378,0.0171598,0.00917993,0.0210526,0.010327,0.0110294,0.00965517,0.00783699,0.00167504,0.00655106,0.0128866,0.00802752,0.01,0.00573066,0.0205588,0.00796178,0.037962,0.00642792,0.013308,0.0109718,0.0145414,0.0144462,0.00500835,0.0166778,0.0285344,0.0200547,0.00922722,0.0138568,0.0068306,0.0137615,0.0101289,0.0133206,0.0123077,0.0131752,0.00645995,0.0118265,0.0116279,0.013,0.0125313,0.015625,0.0100376,0.0138298,0.013624,0.0168067,0.0096831,0.0106242,0.0182685,0.0608021,0.0400802,0.027027,0.00666032,0.0125348,0.0175439,0.0173913,0.018018,0.00919732,0.00987167,0.0129496,0.022695,0.0204403,0.0187207,0.0174064,0.010274,0.0260223,0.00896359,0.0103397,0.0153782,0.0166205,0.0158201,0.0258856,0.0174081,0.031865,0.00857143,0.0139459,0.0163292,0.00877193,0.0180645,0.0123267,0.0167653,0.020934,0.0204082,0.0294957,0.011022,0.0168244,0.00549954,0.0129765,0.0100719,0.0104012,0.00686185,0.0380091,0.00993378,0.015493,0.0215164,0.010468,0.0124481,0.0262726,0.011889,0.0230692,0.0106545,0.0120192,0.0152284,0.0266667,0.0290828,0.0133333,0.0341506,0.00949796,0.0162822,0.0186608,0.00851064,0.0261708,0.0146862,0.0169713,0.0150479,0.0102041,0.0311005,0.0150273,0.0187225,0.00713012,0.0136519,0.00813481,0.0135218,0.00690548,0.0112936,0.0193611,0.00930851,0.0100575,0.0133172,0.0129199,0.0103926,0.017931,0.020915,0.0100883,0.0182073,0.017148,0.0107527,0.0311594,0.00696056,0.00987654,0.00651769,0.0108401,0.00526778,0.0118265,0.0116086,0.0176545,0.0167973,0.00943396,0.0103663,0.0117786,0.00907591,0.0155844,0.0170604,0.0164609
DB00119,0.0945946,0.00925926,0.0168539,0.00768246,0.00738007,0.0011534,0.0206186,0.0235294,0.0201005,0.0142045,0.00990099,0.00917431,0.0526316,0.0273973,0.0058309,0.109091,0.00611995,0.00357143,0.0175879,0.00351288,0.0140845,0.0307692,0.00683761,0.00272727,0.142857,0.0168856,0.00754717,0.00573394,0.0240964,0.0174419,0.028169,0.0103093,0.00549451,0.114286,0.00285714,0.00641026,0.151515,0.0183727,0.04,0.012016,0.00497238,0.0280374,0.0652174,0.0089172,0.00481762,0.030303,0.0645161,0.0029656,0.0128205,0.00521739,0.00555556,0.00760456,0.142857,0.0155039,0.0696203,0.025641,0,0.00293686,0.0229358,0.0226537,0.0212766,0.00724638,0.00659824,0.0294118,0.017094,0.00566038,0.0182186,0.0789474,0.00291545,0.112903,0,0.00628272,0.0313901,0.0109091,0.0331126,0.0194175,0.0175439,0.0638298,0.0132827,0.00601202,0.0795455,0.019802,0.00465116,0.0097561,0.00627615,0.00446429,0.0123967,0.00463499,0.0254237,0.0182768,0.0225989,0.0150376,0.00689655,0.0645161,0.00418994,0.0027933,0.0193133,0.0163399,0.0164271,0.00791855,0.00544323,0.00823045,0.0550459,0.00782473,0.0132159,0.00595238,0.0604027,0.075,0.0714286,0.0116861,0.00940439,0.00557621,0.00650406,0.0254237,0.00266667,0.0426829,0.0107692,0.00963597,0.00824742,0.00373134,0.0671642,0.0089955,0.00404449,0.00513699,0.0319635,0.0444444,0.00862069,0.0100287,0.0141343,0.00776699,0.0136364,0.01,0.0113636,0.0103093,0.00357995,0.0127065,0.00429185,0.00863558,0.0930233,0.0193548,0.011655,0.00559701,0.00612557,0.00585652,0.0201005,0.00660793,0.020202,0.0295203,0.00965018,0.00753012,0.0113314,0.00235849,0.00815661,0.0111732,0.021978,0.00274725,0.0136986,0.04,0.0314136,0.0188679,0.0170455,0.00775194,0.0170068,0.0227273,0.0140056,0.00531915,0.025,0.00428449,0.00462535,0.00283286,0.0193237,0.0123967,0.015544,0.0606061,0.0148148,0.027907,0.0196078,0.0294118,0.0283019,0.012766,0.0379747,0.00894454,0.0107143,0.00702576,0.00660066,0.00790514,0.00387597,0.00549451,0.00518135,0.035,0.0107692,0.0382979,0.0207101,0.0108696,0.00784753,0.00680272,0.00609756,0.028169,0.00952381,0.0348837
DB00120,0.0697674,0.0617761,0.0258621,0.0205562,0.0237691,0.0032538,0.106383,0.0694444,0.106383,0.078125,0.111888,0.0661157,0.0446429,0.0670103,0.0190996,0.0535714,0.0103448,0.0628931,0.03125,0.00994475,0.0238095,0.0670391,0.0221519,0.00869565,0.0384615,0.0221843,0.0657895,0.0119177,0.0684932,0.0411449,0.0615385,0.0454545,0.0167785,0.0549451,0.0488432,0.0239163,0.0795455,0.0324826,0.329268,0.0174782,0.0146025,0.0613027,0.123188,0.011919,0.00730412,0.045977,0.0512821,0.00517539,0.0808824,0.0412017,0.00704846,0.057072,0.0384615,0.103806,0.0414747,0.113821,0.010989,0.00958773,0.102362,0.0303867,0.0691489,0.0652174,0.0120311,0.016,0.0575397,0.0314685,0.0294118,0.287037,0.0415584,0.0956522,0.0212766,0.0366599,0.0398551,0.0302521,0.0453258,0.0628571,0.0405405,0.105634,0.0478723,0.0219378,0.101449,0.0395257,0.105263,0.0645161,0.0326296,0.0242424,0.0378007,0.0109409,0.0602837,0.0542453,0.0484582,0.0198676,0.0190779,0.0493827,0.0210526,0.0115968,0.0230769,0.0728863,0.0241187,0.0193548,0.00972326,0.0301318,0.0361446,0.0248538,0.0257937,0.00894855,0.102564,0.0592593,0.113636,0.0375587,0.0215633,0.0187394,0.013302,0.0853659,0.00623377,0.0506912,0.0156472,0.0131712,0.0205607,0.0153584,0.0638298,0.015299,0.0164569,0.0304,0.0842912,0.0413793,0.109937,0.0583333,0.0955414,0.019469,0.0182186,0.0549199,0.0154639,0.0206044,0.0251142,0.0106509,0.00892857,0.0256,0.04,0.162162,0.038055,0.0133929,0.012766,0.0163934,0.101695,0.0362903,0.284553,0.0434783,0.0193843,0.0254237,0.0247525,0.0255319,0.0400616,0.0967742,0.109589,0.036855,0.11413,0.106481,0.0325203,0.161702,0.0630631,0.0218579,0.0409357,0.025974,0.0244499,0.0246305,0.066482,0.00820345,0.0106101,0.00605727,0.0256959,0.0281955,0.124444,0.145349,0.0247678,0.0530303,0.0453258,0.0740741,0.108871,0.010274,0.0995025,0.0281457,0.0625,0.0143805,0.0284091,0.0540541,0.0249554,0.0958904,0.0306452,0.056,0.030303,0.037931,0.028133,0.0945946,0.0116402,0.0568862,0.0155807,0.0260223,0.03861,0.0730594
