DRUGBANK_ID,DB09555,DB09561,DB09563,DB09570,DB09571,DB11093,DB11104,DB11126,DB11228,DB11256,DB11359,DB11362,DB11363,DB11364,DB11367,DB11560,DB11574,DB11575,DB11581,DB11582,DB11591,DB11596,DB11602,DB11609,DB11610,DB11611,DB11613,DB11614,DB11619,DB11699,DB11730,DB11737,DB11793,DB11915,DB11921,DB11943,DB11994,DB12095,DB12161,DB12243,DB12332,DB12598,DB13025,DB13092,DB13139,DB13146,DB13154,DB13155,DB13156,DB13158,DB13164,DB13165,DB13167,DB13179,DB13180
DB00014,0.0273128,0.00984252,0.005,0.0255537,0.0294985,0.00780488,0,0.0105871,0.00565428,0.0516129,0.0254652,0.0345605,0.02644,0.106631,0.030323,0.0341997,0.05625,0.0285974,0.0270948,0.0295047,0.0405594,0.0498595,0.00740741,0.0212766,0.0259865,0.0468662,0.0320028,0.0234474,0.0108696,0.0940439,0.0201097,0.0151411,0.0323529,0.025,0.00841944,0.0115258,0.0159787,0.0380228,0.0311878,0.0209663,0.0283505,0.0213608,0.0252525,0.0134946,0.032345,0.00972763,0.021148,0.0151515,0.0108992,0.00957592,0.0242782,0.0352221,0.0231729,0.0121247,0.0115718
DB00035,0.0334129,0.00693481,0.0042735,0.0168729,0.0625889,0.00964187,0,0.0121457,0.00318471,0.0657534,0.0177112,0.0415861,0.0173724,0.134709,0.0377979,0.0219224,0.0576331,0.0250261,0.0192532,0.0254185,0.0348432,0.064114,0.00378788,0.034749,0.0337382,0.0535593,0.0235116,0.0162287,0.0116279,0.0185874,0.0215613,0.0120586,0.0356473,0.0206948,0.00603188,0.0104781,0.00988468,0.039627,0.027027,0.0327456,0.0269414,0.024819,0.0188679,0.0113086,0.0290909,0.0123457,0.030303,0.012069,0.00594732,0.00736842,0.023539,0.0303624,0.0229192,0.00762829,0.0135318
DB00091,0.0161507,0.00985222,0.00507614,0.0166667,0.0208668,0.0113821,0,0.0356564,0.00968523,0.0393701,0.00632911,0.0211416,0.00915856,0.100134,0.0520548,0.0110193,0.03615,0.022602,0.0105003,0.0205026,0.0141243,0.0333651,0.0128068,0.0191176,0.0282575,0.0270463,0.0221169,0.00668896,0.011811,0.017562,0.0144578,0.00472144,0.0101729,0.0250202,0.00861678,0.00916138,0.00541028,0.0115416,0.0251121,0.0172166,0.00851064,0.00686499,0.0112782,0.0143513,0.0165289,0.0112903,0.005,0.013346,0.01322,0.010084,0.0132159,0.0151025,0.0123626,0.0315142,0.0357143
DB00093,0.0299479,0.00618238,0.00318471,0.0134474,0.0700637,0.00920245,0,0.011994,0.00346021,0.0632911,0.0135747,0.0448384,0.0169587,0.131579,0.0448549,0.0206463,0.0586364,0.0249322,0.0170316,0.0253247,0.0267528,0.0616114,0.00305499,0.0384615,0.017673,0.0519203,0.0226033,0.015561,0.0115385,0.01998,0.0220299,0.0128913,0.029,0.0243137,0.00578549,0.00962861,0.00876424,0.0285016,0.0287958,0.0361613,0.0191987,0.0155211,0.0156627,0.00838926,0.0211082,0.0106707,0.0126783,0.0101103,0.00543971,0.00711939,0.020654,0.0305907,0.0184453,0.00804682,0.012012
DB00104,0.0263819,0.0119581,0.00768049,0.0227273,0.0705521,0.00884956,0,0.0324006,0.00674157,0.0438842,0.0325444,0.0321285,0.0195531,0.0460449,0.0376068,0.0430493,0.0315375,0.0169761,0.0204327,0.0374919,0.0345141,0.0418182,0.00999001,0.0328317,0.0331412,0.0524476,0.0243525,0.020145,0.0113493,0.122186,0.0176651,0.0171635,0.0363458,0.0246154,0.00704846,0.010142,0.0190476,0.0353414,0.0203218,0.0307487,0.0280297,0.020585,0.0199531,0.0127353,0.0349288,0.0117474,0.0137195,0.0236579,0.0170251,0.00810811,0.0210615,0.0308325,0.024359,0.0107991,0.0324484
DB00116,0.0383333,0.0125786,0.00653595,0.0312012,0.0306748,0.0144928,0,0.0180723,0.00429185,0.490323,0.016129,0.0296296,0.0174672,0.0762053,0.0271903,0.0275716,0.0203022,0.0171192,0.0524843,0.0321873,0.0350493,0.469136,0.00492005,0.0255942,0.0376984,0.053012,0.0165563,0.019981,0.0143885,0.0252404,0.0281818,0.0185792,0.0474453,0.015165,0.00722195,0.0220126,0.0186528,0.0388994,0.0181269,0.0248668,0.0405138,0.0594901,0.0273973,0.0111317,0.0358974,0.0227273,0.0328947,0.0174863,0.0183983,0.008449,0.0293225,0.0214646,0.0324232,0.00665557,0.0242915
DB00117,0.0367647,0.0364963,0.0168067,0.0322581,0.0653595,0.041958,0,0.0573248,0.00837989,0.0392157,0.0316456,0.0228216,0.0101801,0.0477612,0.0241327,0.0244698,0.00886918,0.0124542,0.0139494,0.012299,0.0272109,0.0373514,0.00847458,0.0328638,0.04,0.028632,0.0105112,0.0181058,0.010397,0.0281125,0.0141207,0.0102564,0.023622,0.0217949,0.00574383,0.0137421,0.0126183,0.0501393,0.0244648,0.0350877,0.0156919,0.0149626,0.0245399,0.00857366,0.0474308,0.0694444,0.04,0.0154905,0.0204082,0.00681302,0.0104478,0.0263158,0.0434783,0.00929152,0.0784314
DB00118,0.0200803,0.0130293,0.00670017,0.011378,0.00941915,0.0128824,0,0.0402576,0.0293758,0.0221154,0.00941915,0.0188482,0.00739898,0.0183824,0.0139983,0.0183824,0.0145567,0.0136091,0.0116995,0.0326449,0.0226415,0.02058,0.027957,0.010101,0.0137825,0.0111576,0.00972763,0.0100083,0.0104371,0.0153531,0.0192616,0.0229226,0.0214505,0.0183413,0.0113327,0.0184006,0.00808625,0.0223695,0.0132159,0.00987306,0.00760778,0.00910125,0.0124378,0.0102506,0.0149864,0.0127796,0.00494234,0.0398445,0.291866,0.00723428,0.0131349,0.0128205,0.0108696,0.0219697,0.0336538
DB00119,0.0101523,0.0350877,0.0555556,0.025974,0.025641,0.0645161,0,0.0506329,0.00361011,0.0183299,0.0526316,0.0123457,0.00499584,0.0229008,0.0170648,0.0111317,0.00288684,0.00464037,0.00558659,0.00714286,0.0136187,0.0153846,0.00511509,0.0300752,0.0421053,0.0102506,0.00345679,0.00621118,0.00612245,0.0141844,0.0085592,0.00197239,0.0115741,0.0056338,0.00421433,0.0103806,0.0219378,0.0135952,0.00686106,0.0337838,0.00963082,0.015674,0.0286885,0.00665004,0.0224719,0.0923077,0.0681818,0.00795229,0.00583658,0.00402576,0.00677966,0.0078534,0.0342857,0.00769231,0.0789474
DB00120,0.0711297,0.045045,0.0215054,0.0462633,0.343137,0.0512821,0,0.0687023,0.00903614,0.0450281,0.0873016,0.0518018,0.0112,0.0517799,0.0251177,0.0343643,0.0147059,0.0149701,0.0124666,0.0145773,0.045208,0.0427807,0.00896861,0.127907,0.0833333,0.0500556,0.0145702,0.0202605,0.0106589,0.029661,0.0159574,0.0198556,0.04,0.0225464,0.00524476,0.0130293,0.0215589,0.0674487,0.0254777,0.117021,0.0208333,0.0297297,0.037037,0.0103586,0.0717489,0.0847458,0.106383,0.0235935,0.0123457,0.00694981,0.021978,0.0327103,0.0720721,0.00958084,0.0944882
