GENERIC NAME,DrugBank,KEGG,PubChem,Drugs.com
Goserelin,https://www.drugbank.ca/drugs/DB00014,http://www.genome.jp/dbget-bin/www_bget?dr:D00573,https://pubchem.ncbi.nlm.nih.gov/substance/46507336#section=Top,http://www.drugs.com/cdi/goserelin.html
Desmopressin,https://www.drugbank.ca/drugs/DB00035,http://www.genome.jp/dbget-bin/www_bget?dr:D00291,https://pubchem.ncbi.nlm.nih.gov/substance/46507014#section=Top,http://www.drugs.com/cdi/desmopressin.html
Cyclosporine,https://www.drugbank.ca/drugs/DB00091,http://www.genome.jp/dbget-bin/www_bget?dr:D00184,https://pubchem.ncbi.nlm.nih.gov/substance/#section=Top,http://www.drugs.com/cdi/cyclosporine-drops.html
Felypressin,https://www.drugbank.ca/drugs/DB00093,http://www.genome.jp/dbget-bin/www_bget?dr: ,https://pubchem.ncbi.nlm.nih.gov/substance/#section=Top,
Octreotide,https://www.drugbank.ca/drugs/DB00104,http://www.genome.jp/dbget-bin/www_bget?dr:D00442,https://pubchem.ncbi.nlm.nih.gov/substance/#section=Top,http://www.drugs.com/cdi/octreotide.html
Tetrahydrofolic acid,https://www.drugbank.ca/drugs/DB00116,http://www.genome.jp/dbget-bin/www_bget?dr: ,https://pubchem.ncbi.nlm.nih.gov/substance/46504756#section=Top,
L-Histidine,https://www.drugbank.ca/drugs/DB00117,http://www.genome.jp/dbget-bin/www_bget?dr:D00032,https://pubchem.ncbi.nlm.nih.gov/substance/#section=Top,
Ademetionine,https://www.drugbank.ca/drugs/DB00118,http://www.genome.jp/dbget-bin/www_bget?dr: ,https://pubchem.ncbi.nlm.nih.gov/substance/#section=Top,http://www.drugs.com/cdi/s-adenosylmethionine.html
Pyruvic acid,https://www.drugbank.ca/drugs/DB00119,http://www.genome.jp/dbget-bin/www_bget?dr: ,https://pubchem.ncbi.nlm.nih.gov/substance/46505692#section=Top,
L-Phenylalanine,https://www.drugbank.ca/drugs/DB00120,http://www.genome.jp/dbget-bin/www_bget?dr:D00021,https://pubchem.ncbi.nlm.nih.gov/substance/46505708#section=Top,
Biotin,https://www.drugbank.ca/drugs/DB00121,http://www.genome.jp/dbget-bin/www_bget?dr:D00029,https://pubchem.ncbi.nlm.nih.gov/substance/46508694#section=Top,http://www.drugs.com/cons/biotin.html
Choline,https://www.drugbank.ca/drugs/DB00122,http://www.genome.jp/dbget-bin/www_bget?dr: ,https://pubchem.ncbi.nlm.nih.gov/substance/46508132#section=Top,
L-Lysine,https://www.drugbank.ca/drugs/DB00123,http://www.genome.jp/dbget-bin/www_bget?dr:D02304,https://pubchem.ncbi.nlm.nih.gov/substance/#section=Top,
L-Arginine,https://www.drugbank.ca/drugs/DB00125,http://www.genome.jp/dbget-bin/www_bget?dr:D02982,https://pubchem.ncbi.nlm.nih.gov/substance/#section=Top,http://www.drugs.com/npc/l-arginine.html
Vitamin C,https://www.drugbank.ca/drugs/DB00126,http://www.genome.jp/dbget-bin/www_bget?dr:D00018,https://pubchem.ncbi.nlm.nih.gov/substance/46505070#section=Top,http://www.drugs.com/cdi/ascorbic-acid.html
Spermine,https://www.drugbank.ca/drugs/DB00127,http://www.genome.jp/dbget-bin/www_bget?dr: ,https://pubchem.ncbi.nlm.nih.gov/substance/46507215#section=Top,
L-Aspartic Acid,https://www.drugbank.ca/drugs/DB00128,http://www.genome.jp/dbget-bin/www_bget?dr:D00013,https://pubchem.ncbi.nlm.nih.gov/substance/46507997#section=Top,
Ornithine,https://www.drugbank.ca/drugs/DB00129,http://www.genome.jp/dbget-bin/www_bget?dr: ,https://pubchem.ncbi.nlm.nih.gov/substance/46505239#section=Top,
L-Glutamine,https://www.drugbank.ca/drugs/DB00130,http://www.genome.jp/dbget-bin/www_bget?dr:D00015,https://pubchem.ncbi.nlm.nih.gov/substance/46505866#section=Top,
Adenosine monophosphate,https://www.drugbank.ca/drugs/DB00131,http://www.genome.jp/dbget-bin/www_bget?dr:D02769,https://pubchem.ncbi.nlm.nih.gov/substance/46507628#section=Top,
Alpha-Linolenic Acid,https://www.drugbank.ca/drugs/DB00132,http://www.genome.jp/dbget-bin/www_bget?dr: ,https://pubchem.ncbi.nlm.nih.gov/substance/46507620#section=Top,
L-Serine,https://www.drugbank.ca/drugs/DB00133,http://www.genome.jp/dbget-bin/www_bget?dr:D00016,https://pubchem.ncbi.nlm.nih.gov/substance/46506450#section=Top,
L-Methionine,https://www.drugbank.ca/drugs/DB00134,http://www.genome.jp/dbget-bin/www_bget?dr:D04983,https://pubchem.ncbi.nlm.nih.gov/substance/46505750#section=Top,
L-Tyrosine,https://www.drugbank.ca/drugs/DB00135,http://www.genome.jp/dbget-bin/www_bget?dr:D00022,https://pubchem.ncbi.nlm.nih.gov/substance/46507885#section=Top,
Calcitriol,https://www.drugbank.ca/drugs/DB00136,http://www.genome.jp/dbget-bin/www_bget?dr:D00129,https://pubchem.ncbi.nlm.nih.gov/substance/46508162#section=Top,http://www.drugs.com/cdi/calcitriol.html
Cystine,https://www.drugbank.ca/drugs/DB00138,http://www.genome.jp/dbget-bin/www_bget?dr:D03636,https://pubchem.ncbi.nlm.nih.gov/substance/#section=Top,
Succinic acid,https://www.drugbank.ca/drugs/DB00139,http://www.genome.jp/dbget-bin/www_bget?dr: ,https://pubchem.ncbi.nlm.nih.gov/substance/46505859#section=Top,
Riboflavin,https://www.drugbank.ca/drugs/DB00140,http://www.genome.jp/dbget-bin/www_bget?dr:D00050,https://pubchem.ncbi.nlm.nih.gov/substance/46507342#section=Top,http://www.drugs.com/mtm/riboflavin.html
N-Acetylglucosamine,https://www.drugbank.ca/drugs/DB00141,http://www.genome.jp/dbget-bin/www_bget?dr: ,https://pubchem.ncbi.nlm.nih.gov/substance/46509139#section=Top,
Glutamic Acid,https://www.drugbank.ca/drugs/DB00142,http://www.genome.jp/dbget-bin/www_bget?dr:D00007,https://pubchem.ncbi.nlm.nih.gov/substance/46505816#section=Top,
Glutathione,https://www.drugbank.ca/drugs/DB00143,http://www.genome.jp/dbget-bin/www_bget?dr:D00014,https://pubchem.ncbi.nlm.nih.gov/substance/46504598#section=Top,
Phosphatidyl serine,https://www.drugbank.ca/drugs/DB00144,http://www.genome.jp/dbget-bin/www_bget?dr: ,https://pubchem.ncbi.nlm.nih.gov/substance/46505650#section=Top,
Glycine,https://www.drugbank.ca/drugs/DB00145,http://www.genome.jp/dbget-bin/www_bget?dr:D00011,https://pubchem.ncbi.nlm.nih.gov/substance/46508219#section=Top,
Calcidiol,https://www.drugbank.ca/drugs/DB00146,http://www.genome.jp/dbget-bin/www_bget?dr: ,https://pubchem.ncbi.nlm.nih.gov/substance/46505690#section=Top,
Pyridoxal,https://www.drugbank.ca/drugs/DB00147,http://www.genome.jp/dbget-bin/www_bget?dr: ,https://pubchem.ncbi.nlm.nih.gov/substance/46506282#section=Top,
L-Leucine,https://www.drugbank.ca/drugs/DB00149,http://www.genome.jp/dbget-bin/www_bget?dr:D00030,https://pubchem.ncbi.nlm.nih.gov/substance/46507163#section=Top,
L-Tryptophan,https://www.drugbank.ca/drugs/DB00150,http://www.genome.jp/dbget-bin/www_bget?dr:D00020,https://pubchem.ncbi.nlm.nih.gov/substance/46508329#section=Top,
L-Cysteine,https://www.drugbank.ca/drugs/DB00151,http://www.genome.jp/dbget-bin/www_bget?dr:D00026,https://pubchem.ncbi.nlm.nih.gov/substance/#section=Top,
Thiamine,https://www.drugbank.ca/drugs/DB00152,http://www.genome.jp/dbget-bin/www_bget?dr: ,https://pubchem.ncbi.nlm.nih.gov/substance/46507321#section=Top,http://www.drugs.com/cdi/thiamine.html
Ergocalciferol,https://www.drugbank.ca/drugs/DB00153,http://www.genome.jp/dbget-bin/www_bget?dr:D00187,https://pubchem.ncbi.nlm.nih.gov/substance/46505053#section=Top,http://www.drugs.com/cdi/ergocalciferol.html
Dihomo-gamma-linolenic acid,https://www.drugbank.ca/drugs/DB00154,http://www.genome.jp/dbget-bin/www_bget?dr: ,https://pubchem.ncbi.nlm.nih.gov/substance/46508866#section=Top,
L-Citrulline,https://www.drugbank.ca/drugs/DB00155,http://www.genome.jp/dbget-bin/www_bget?dr: ,https://pubchem.ncbi.nlm.nih.gov/substance/46506583#section=Top,
L-Threonine,https://www.drugbank.ca/drugs/DB00156,http://www.genome.jp/dbget-bin/www_bget?dr:D00041,https://pubchem.ncbi.nlm.nih.gov/substance/#section=Top,
Folic Acid,https://www.drugbank.ca/drugs/DB00158,http://www.genome.jp/dbget-bin/www_bget?dr:D00070,https://pubchem.ncbi.nlm.nih.gov/substance/46508092#section=Top,http://www.drugs.com/folic_acid.html
Icosapent,https://www.drugbank.ca/drugs/DB00159,http://www.genome.jp/dbget-bin/www_bget?dr:D08061,https://pubchem.ncbi.nlm.nih.gov/substance/46506267#section=Top,http://www.drugs.com/mtm/epa-fish-oil.html
L-Alanine,https://www.drugbank.ca/drugs/DB00160,http://www.genome.jp/dbget-bin/www_bget?dr:D00012,https://pubchem.ncbi.nlm.nih.gov/substance/#section=Top,
L-Valine,https://www.drugbank.ca/drugs/DB00161,http://www.genome.jp/dbget-bin/www_bget?dr:D00039,https://pubchem.ncbi.nlm.nih.gov/substance/#section=Top,
Vitamin A,https://www.drugbank.ca/drugs/DB00162,http://www.genome.jp/dbget-bin/www_bget?dr:D00069,https://pubchem.ncbi.nlm.nih.gov/substance/46508191#section=Top,http://www.drugs.com/mtm/vitamin-a.html
Vitamin E,https://www.drugbank.ca/drugs/DB00163,http://www.genome.jp/dbget-bin/www_bget?dr: ,https://pubchem.ncbi.nlm.nih.gov/substance/46506524#section=Top,http://www.drugs.com/vitamin_e.html
Pyridoxine,https://www.drugbank.ca/drugs/DB00165,http://www.genome.jp/dbget-bin/www_bget?dr: ,https://pubchem.ncbi.nlm.nih.gov/substance/46508560#section=Top,http://www.drugs.com/cdi/pyridoxine-vitamin-b6-extended-release-tablets.html
Lipoic Acid,https://www.drugbank.ca/drugs/DB00166,http://www.genome.jp/dbget-bin/www_bget?dr:D00086,https://pubchem.ncbi.nlm.nih.gov/substance/#section=Top,
L-Isoleucine,https://www.drugbank.ca/drugs/DB00167,http://www.genome.jp/dbget-bin/www_bget?dr:D00065,https://pubchem.ncbi.nlm.nih.gov/substance/46506864#section=Top,
Aspartame,https://www.drugbank.ca/drugs/DB00168,http://www.genome.jp/dbget-bin/www_bget?dr:D02381,https://pubchem.ncbi.nlm.nih.gov/substance/46507278#section=Top,
Cholecalciferol,https://www.drugbank.ca/drugs/DB00169,http://www.genome.jp/dbget-bin/www_bget?dr:D00188,https://pubchem.ncbi.nlm.nih.gov/substance/#section=Top,http://www.drugs.com/mtm/cholecalciferol.html
Menadione,https://www.drugbank.ca/drugs/DB00170,http://www.genome.jp/dbget-bin/www_bget?dr:D02335,https://pubchem.ncbi.nlm.nih.gov/substance/46505447#section=Top,
L-Proline,https://www.drugbank.ca/drugs/DB00172,http://www.genome.jp/dbget-bin/www_bget?dr:D00035,https://pubchem.ncbi.nlm.nih.gov/substance/46506858#section=Top,
Adenine,https://www.drugbank.ca/drugs/DB00173,http://www.genome.jp/dbget-bin/www_bget?dr:D00034,https://pubchem.ncbi.nlm.nih.gov/substance/46507319#section=Top,
L-Asparagine,https://www.drugbank.ca/drugs/DB00174,http://www.genome.jp/dbget-bin/www_bget?dr: ,https://pubchem.ncbi.nlm.nih.gov/substance/46507804#section=Top,
Pravastatin,https://www.drugbank.ca/drugs/DB00175,http://www.genome.jp/dbget-bin/www_bget?dr:D00893,https://pubchem.ncbi.nlm.nih.gov/substance/46504851#section=Top,http://www.drugs.com/cdi/pravastatin.html
Fluvoxamine,https://www.drugbank.ca/drugs/DB00176,http://www.genome.jp/dbget-bin/www_bget?dr: ,https://pubchem.ncbi.nlm.nih.gov/substance/46507588#section=Top,http://www.drugs.com/cdi/fluvoxamine.html
Valsartan,https://www.drugbank.ca/drugs/DB00177,http://www.genome.jp/dbget-bin/www_bget?dr:D00400,https://pubchem.ncbi.nlm.nih.gov/substance/46509000#section=Top,http://www.drugs.com/cdi/valsartan.html
Ramipril,https://www.drugbank.ca/drugs/DB00178,http://www.genome.jp/dbget-bin/www_bget?dr:D00421,https://pubchem.ncbi.nlm.nih.gov/substance/46506390#section=Top,http://www.drugs.com/ramipril.html
Masoprocol,https://www.drugbank.ca/drugs/DB00179,http://www.genome.jp/dbget-bin/www_bget?dr:D04862,https://pubchem.ncbi.nlm.nih.gov/substance/46508042#section=Top,
Flunisolide,https://www.drugbank.ca/drugs/DB00180,http://www.genome.jp/dbget-bin/www_bget?dr: ,https://pubchem.ncbi.nlm.nih.gov/substance/46507894#section=Top,http://www.drugs.com/cdi/flunisolide-spray.html
Baclofen,https://www.drugbank.ca/drugs/DB00181,http://www.genome.jp/dbget-bin/www_bget?dr:D00241,https://pubchem.ncbi.nlm.nih.gov/substance/46508181#section=Top,http://www.drugs.com/baclofen.html
Amphetamine,https://www.drugbank.ca/drugs/DB00182,http://www.genome.jp/dbget-bin/www_bget?dr:D07445,https://pubchem.ncbi.nlm.nih.gov/substance/46506414#section=Top,http://www.drugs.com/amphetamine.html
Pentagastrin,https://www.drugbank.ca/drugs/DB00183,http://www.genome.jp/dbget-bin/www_bget?dr:D01631,https://pubchem.ncbi.nlm.nih.gov/substance/#section=Top,
Nicotine,https://www.drugbank.ca/drugs/DB00184,http://www.genome.jp/dbget-bin/www_bget?dr:D03365,https://pubchem.ncbi.nlm.nih.gov/substance/#section=Top,http://www.drugs.com/nicotine.html
Cevimeline,https://www.drugbank.ca/drugs/DB00185,http://www.genome.jp/dbget-bin/www_bget?dr:D00661,https://pubchem.ncbi.nlm.nih.gov/substance/46507202#section=Top,http://www.drugs.com/cdi/cevimeline.html
Lorazepam,https://www.drugbank.ca/drugs/DB00186,http://www.genome.jp/dbget-bin/www_bget?dr:D00365,https://pubchem.ncbi.nlm.nih.gov/substance/46508468#section=Top,http://www.drugs.com/lorazepam.html
Esmolol,https://www.drugbank.ca/drugs/DB00187,http://www.genome.jp/dbget-bin/www_bget?dr:D07916,https://pubchem.ncbi.nlm.nih.gov/substance/46506146#section=Top,http://www.drugs.com/cdi/esmolol.html
Bortezomib,https://www.drugbank.ca/drugs/DB00188,http://www.genome.jp/dbget-bin/www_bget?dr:D03150,https://pubchem.ncbi.nlm.nih.gov/substance/#section=Top,http://www.drugs.com/cdi/bortezomib.html
Ethchlorvynol,https://www.drugbank.ca/drugs/DB00189,http://www.genome.jp/dbget-bin/www_bget?dr:D00704,https://pubchem.ncbi.nlm.nih.gov/substance/46505006#section=Top,http://www.drugs.com/cons/ethchlorvynol.html
Carbidopa,https://www.drugbank.ca/drugs/DB00190,http://www.genome.jp/dbget-bin/www_bget?dr:D00558,https://pubchem.ncbi.nlm.nih.gov/substance/#section=Top,http://www.drugs.com/cdi/carbidopa.html
Phentermine,https://www.drugbank.ca/drugs/DB00191,http://www.genome.jp/dbget-bin/www_bget?dr:D05458,https://pubchem.ncbi.nlm.nih.gov/substance/46508515#section=Top,http://www.drugs.com/phentermine.html
Indecainide,https://www.drugbank.ca/drugs/DB00192,http://www.genome.jp/dbget-bin/www_bget?dr: ,https://pubchem.ncbi.nlm.nih.gov/substance/46506714#section=Top,
Tramadol,https://www.drugbank.ca/drugs/DB00193,http://www.genome.jp/dbget-bin/www_bget?dr:D08623,https://pubchem.ncbi.nlm.nih.gov/substance/46506256#section=Top,http://www.drugs.com/tramadol.html
Vidarabine,https://www.drugbank.ca/drugs/DB00194,http://www.genome.jp/dbget-bin/www_bget?dr:D00406,https://pubchem.ncbi.nlm.nih.gov/substance/46506630#section=Top,http://www.drugs.com/mtm/vidarabine-ophthalmic.html
Betaxolol,https://www.drugbank.ca/drugs/DB00195,http://www.genome.jp/dbget-bin/www_bget?dr: ,https://pubchem.ncbi.nlm.nih.gov/substance/46506041#section=Top,http://www.drugs.com/cdi/betaxolol-drops.html
Fluconazole,https://www.drugbank.ca/drugs/DB00196,http://www.genome.jp/dbget-bin/www_bget?dr:D00322,https://pubchem.ncbi.nlm.nih.gov/substance/46505735#section=Top,http://www.drugs.com/cdi/fluconazole.html
Oseltamivir,https://www.drugbank.ca/drugs/DB00198,http://www.genome.jp/dbget-bin/www_bget?dr:D00900,https://pubchem.ncbi.nlm.nih.gov/substance/46507602#section=Top,http://www.drugs.com/oseltamivir.html
Erythromycin,https://www.drugbank.ca/drugs/DB00199,http://www.genome.jp/dbget-bin/www_bget?dr:D00140,https://pubchem.ncbi.nlm.nih.gov/substance/46508487#section=Top,http://www.drugs.com/cdi/erythromycin-ointment.html
Succinylcholine,https://www.drugbank.ca/drugs/DB00202,http://www.genome.jp/dbget-bin/www_bget?dr: ,https://pubchem.ncbi.nlm.nih.gov/substance/46506023#section=Top,http://www.drugs.com/cdi/succinylcholine.html
