DRUGBANK_ID,DB01590,DB01591,DB01594,DB01595,DB01597,DB01598,DB01599,DB01600,DB01601,DB01602,DB01603,DB01604,DB01605,DB01606,DB01607,DB01608,DB01609,DB01610,DB01611,DB01612,DB01613,DB01614,DB01615,DB01616,DB01618,DB01619,DB01620,DB01621,DB01622,DB01623,DB01624,DB01625,DB01626,DB01627,DB01628,DB01638,DB01656,DB01685,DB01708,DB01718,DB01744,DB01764,DB01878,DB01914,DB01956,DB02187,DB02300,DB02325,DB02513,DB02546,DB02638,DB02659,DB02701,DB02703,DB02959,DB03128,DB03147,DB03166,DB03209,DB03404,DB03615,DB03619,DB03754,DB03793,DB03904,DB04209,DB04224,DB04339,DB04398,DB04465,DB04552,DB04570,DB04571,DB04572,DB04573,DB04574,DB04575,DB04576,DB04711,DB04743,DB04786,DB04794,DB04835,DB04837,DB04838,DB04839,DB04840,DB04841,DB04842,DB04843,DB04844,DB04845,DB04846,DB04854,DB04855,DB04861,DB04865,DB04868,DB04871,DB04876,DB04877,DB04878,DB04880,DB04890,DB04894,DB04896,DB04898,DB04908,DB04920,DB04930,DB04938,DB04942,DB04946,DB04948,DB04953,DB04967,DB05013,DB05015,DB05016,DB05039,DB05109,DB05219,DB05239,DB05245,DB05246,DB05260,DB05265,DB05266,DB05271,DB05273,DB05294,DB05351,DB05381,DB05541,DB05676,DB05812,DB05990,DB06016,DB06144,DB06145,DB06147,DB06148,DB06150,DB06151,DB06155,DB06176,DB06196,DB06201,DB06202,DB06203,DB06204,DB06207,DB06209,DB06210,DB06211,DB06212,DB06213,DB06216,DB06217,DB06218,DB06228,DB06237,DB06243,DB06255,DB06261,DB06262,DB06263,DB06267,DB06268,DB06274,DB06282,DB06287,DB06288,DB06290,DB06292,DB06335,DB06401,DB06403,DB06410,DB06412,DB06413,DB06414,DB06439,DB06441,DB06480,DB06589,DB06590,DB06594,DB06595,DB06603,DB06605,DB06614,DB06616,DB06623,DB06626,DB06636,DB06637,DB06654,DB06663,DB06684
DB00014,0.0422912,0.0411241,0.0303831,0.0236337,0.0213858,0.0231214,0.0137363,0.0188195,0.0830861,0.047777,0.047486,0.0480704,0.0247253,0.0235532,0.0443213,0.0264407,0.0242047,0.019245,0.0387965,0.00795229,0.00655431,0.0261348,0.0258152,0.0231884,0.0266565,0.0224643,0.0233393,0.0274331,0.0242782,0.0202086,0.0214533,0.0219378,0.0183398,0.018797,0.0153022,0.00593472,0.0270479,0.0104923,0.0116009,0.00395257,0.0131579,0.0291086,0.0136852,0.00777454,0.005,0.0254925,0.0132159,0.00507099,0.0209324,0.0256167,0.271698,0.0126874,0.0183752,0.00946237,0.110915,0.00791296,0.00946372,0.00607287,0.00738007,0.0152116,0.00670141,0.0126874,0.00504032,0.0158103,0.00711382,0.0325203,0.0135397,0.0146056,0.0100604,0.00587248,0.0181668,0.0250712,0.00789096,0.00496524,0.0216401,0.0214994,0.018528,0.0130548,0.0197425,0.0196721,0.0169389,0.0186441,0.0280112,0.0270979,0.0252174,0.00838658,0.0341207,0.0263852,0.032634,0.0215517,0.0311878,0.0336022,0.0292921,0.02207,0.0265604,0.0229068,0.0124378,0.0176879,0.0273504,0.0407204,0.0245137,0.0094583,0.0174978,0.0321517,0.158228,0.0227273,0.0828856,0.033284,0.0242241,0.0214116,0.0215517,0.0237913,0.0244073,0.029517,0.0303797,0.0225256,0.00908304,0.0153191,0.020595,0.0355649,0.0109051,0.0213946,0.0268998,0.0175277,0.0202109,0.0010101,0.0172946,0.0225624,0.0464567,0.00677638,0.02115,0.0351506,0.0155794,0.0372051,0.0312301,0.0128337,0.012035,0.0375427,0.0294695,0.0148192,0.0180018,0.0338226,0.0177815,0.0277778,0.0215686,0.0153509,0.16958,0.0252174,0.0348432,0.0331492,0.0208145,0.045,0.0335268,0.0225515,0.0162297,0.0381194,0.0138408,0.021181,0.0315315,0.0506092,0.0257732,0.0432468,0.0106178,0.01341,0.0133843,0.0233184,0.0209864,0.0287486,0.0155541,0.0405904,0.0331299,0.0416447,0.0290742,0.025732,0.0275962,0.0165062,0.0303831,0.020219,0.0142395,0.00878156,0.0206767,0.0196232,0.0245842,0.0106383,0.0307577,0.0157928,0.0239186,0.0396624,0.0164509,0.0644641,0.0266584,0.0236542,0.0152575,0.029191,0.0253576,0.0225013,0.00396432,0.0343612,0.342876,0.0582719
DB00035,0.0417457,0.0436644,0.0268949,0.0274361,0.0311419,0.0276243,0.00875,0.0300578,0.130604,0.059652,0.0471204,0.0612245,0.0258176,0.0260504,0.0531822,0.0244726,0.0198618,0.0112676,0.0326531,0.0056338,0.00518807,0.023176,0.021097,0.0454545,0.0214425,0.0229787,0.0357583,0.0241352,0.0210526,0.0160643,0.017301,0.0328283,0.0385144,0.0183398,0.0138203,0.0056101,0.0188119,0.00847458,0.0119131,0.00420757,0.0142349,0.0348148,0.027894,0.00820793,0.00714286,0.0229645,0.011583,0.00290276,0.0184453,0.0441176,0.742138,0.0111111,0.0203252,0.00738189,0.0344086,0.0070028,0.00518135,0.00725689,0.00635324,0.0106383,0.00477555,0.0111111,0.00432277,0.0311615,0.00875912,0.0146444,0.0176871,0.0277008,0.0114943,0.00446927,0.0174482,0.027416,0.00454545,0.00707214,0.0177112,0.0176933,0.0145015,0.0121261,0.0218642,0.0249729,0.0132062,0.0285063,0.0345438,0.0282021,0.0304807,0.00587703,0.0327869,0.0433213,0.0510725,0.0326721,0.027027,0.0299501,0.0265957,0.0155794,0.0213115,0.0215606,0.0089496,0.0131376,0.0273349,0.0543033,0.00824801,0.00807382,0.0188902,0.0393013,0.071599,0.0357143,0.115462,0.0195167,0.0183752,0.0291667,0.0326721,0.0217391,0.0209607,0.0228365,0.0359955,0.0187075,0.00544016,0.027618,0.0156556,0.0233161,0.00828402,0.0174897,0.0284996,0.0216285,0.0311377,0.00144928,0.013544,0.0146597,0.0372984,0.0095498,0.0154976,0.0106101,0.0122616,0.0511222,0.0248834,0.0108761,0.0104302,0.0373726,0.0324675,0.0129125,0.0221402,0.0296412,0.020362,0.0380818,0.0201939,0.0293006,0.164882,0.016185,0.0403863,0.0283749,0.0260223,0.0365419,0.0292259,0.0165877,0.0184049,0.037325,0.010395,0.0157356,0.0326923,0.0932091,0.0340587,0.0488007,0.0135685,0.0188172,0.0146862,0.0256098,0.0123001,0.0255548,0.0103668,0.0839844,0.0498221,0.0409938,0.0356789,0.020284,0.0229358,0.0190311,0.0285714,0.0282167,0.0119808,0.00918635,0.0383091,0.0173116,0.0126927,0.0114247,0.029722,0.0116009,0.0263789,0.0367075,0.0122556,0.0334008,0.0280516,0.0268817,0.00933852,0.0354767,0.0126883,0.0203578,0.00422535,0.0467066,0.214286,0.0215483
DB00091,0.0357384,0.0211982,0.0159151,0.0103627,0.0248691,0.0567823,0.00578035,0.015625,0.0758974,0.064722,0.0593385,0.0646067,0.0344498,0.0296846,0.0671206,0.0100733,0.00469484,0.0200634,0.0227015,0.0066778,0.00911854,0.0112254,0.0175926,0.0125,0.016269,0.0120594,0.0167364,0.0113142,0.00965759,0.00874126,0.00661626,0.012894,0.0173776,0.0328228,0.00438596,0.0184874,0.0110132,0.00238379,0.0144597,0.00498339,0.0122449,0.0387722,0.00643087,0.0212072,0.00507614,0.0104089,0.0169635,0.010453,0.0137825,0.016692,0.117544,0.0150943,0.00626959,0.0125523,0.0155131,0.00829187,0.00826902,0.00865052,0.00590842,0.00807175,0.0129171,0.0143288,0.00342466,0.00816994,0.00519931,0.00467836,0.0208333,0.0210356,0.020654,0.014157,0.00858896,0.0153621,0.0040404,0.00501672,0.0154185,0.0140647,0.0109607,0.0115248,0.0143603,0.00725514,0.00713719,0.00508259,0.0173244,0.0119205,0.0212766,0.0100334,0.0131406,0.016129,0.0177384,0.0117647,0.0251121,0.0483721,0.0239808,0.0130435,0.0106857,0.0149254,0.00744048,0.00671141,0.0167095,0.029148,0.0120837,0.0200535,0.00669344,0.0157005,0.0131148,0.0201613,0.0752688,0.00817996,0.0139935,0.0150463,0.00650195,0.0109529,0.0114723,0.0164835,0.0137672,0.00928505,0.0147835,0.0116429,0.00542299,0.0151229,0.0107296,0.00572738,0.0163934,0.00435414,0.0217984,0.00172712,0.0114566,0.0141844,0.0143646,0.00801282,0.0106952,0.00584795,0.00636943,0.0578035,0.0202874,0.0110032,0.0162429,0.0320513,0.015748,0.0391374,0.00699301,0.0176768,0.00764331,0.0451505,0.00964067,0.0262329,0.0984043,0.00787402,0.0132075,0.0111836,0.0331412,0.0193798,0.0161978,0.00944206,0.0518583,0.0174709,0.0143072,0.0128755,0.0168955,0.0487445,0.01973,0.0184859,0.00952381,0.0125196,0.0124805,0.020979,0.0118655,0.012894,0.008726,0.0246154,0.0184211,0.0350529,0.0174292,0.0247978,0.0203252,0.0309179,0.00701139,0.011378,0.0167106,0.0106232,0.0135135,0.00566251,0.006,0.0123457,0.0212089,0.0084246,0.0309079,0.0123305,0.0111412,0.00886918,0.0121951,0.0471464,0.0085034,0.0135468,0.00430663,0.013132,0.00166389,0.0241611,0.0984952,0.00862813
DB00093,0.0459082,0.0466606,0.025974,0.0263959,0.0380228,0.0266272,0.00687758,0.0290038,0.127859,0.0702222,0.0484623,0.0722121,0.0285451,0.0259624,0.0549348,0.0233603,0.0128205,0.01417,0.0319383,0.00788643,0.00574713,0.0228938,0.0206835,0.0506912,0.0231335,0.0245455,0.0394022,0.0230572,0.020654,0.0153584,0.0156827,0.0362622,0.0429448,0.0176532,0.00954401,0.00469484,0.018143,0.00920598,0.0118256,0.00627944,0.015625,0.0360502,0.0311526,0.00761035,0.00961538,0.018992,0.011466,0.00162602,0.0130624,0.0459259,0.804408,0.0102414,0.0226244,0.00663604,0.0337995,0.00782473,0.00484914,0.00487013,0.00420168,0.00957354,0.00721649,0.0102414,0.00322581,0.0315956,0.00983607,0.0170455,0.0181543,0.0357143,0.00963082,0.00365408,0.0165877,0.0193271,0.00487805,0.00791139,0.0135714,0.0165062,0.0145478,0.0111684,0.0200753,0.0247642,0.0116189,0.0247831,0.0350379,0.029601,0.0320924,0.00608329,0.0319693,0.0407359,0.049505,0.0344828,0.0287958,0.0273852,0.0253456,0.0125523,0.0182609,0.0199557,0.00878477,0.012285,0.0235149,0.0576497,0.00842778,0.0075662,0.014157,0.0341981,0.0635452,0.0405759,0.115178,0.020979,0.0198123,0.0316384,0.0279188,0.0158898,0.0205224,0.0223979,0.0279465,0.0172101,0.00513347,0.0289308,0.0147524,0.0192837,0.00725295,0.0121816,0.0285714,0.0167598,0.0342105,0.00162602,0.0127389,0.0159091,0.0358306,0.0091047,0.0147441,0.0113636,0.0167428,0.0563961,0.0230453,0.0107527,0.00958248,0.0408416,0.0283505,0.0128788,0.0174966,0.031483,0.0159705,0.0393082,0.0179949,0.0242424,0.169822,0.0177215,0.0344828,0.0322284,0.0230978,0.0371783,0.0310663,0.0142259,0.0178716,0.0370675,0.0102264,0.015025,0.033092,0.10355,0.0314083,0.0483304,0.0166415,0.023988,0.0193452,0.0213333,0.0115905,0.024735,0.0110263,0.0860441,0.0451613,0.0450392,0.0385439,0.0200105,0.0146341,0.0222428,0.016295,0.0282903,0.0118845,0.00896552,0.042522,0.0131579,0.0106693,0.00917431,0.0320248,0.0106557,0.0269762,0.0325301,0.0125298,0.0227027,0.0264423,0.0208817,0.00991736,0.027512,0.010084,0.0173969,0.00314465,0.0390117,0.213599,0.0220526
DB00104,0.025016,0.043711,0.0262712,0.0297915,0.0380835,0.0289296,0.0160858,0.0318627,0.106574,0.0494881,0.0388087,0.0499124,0.014197,0.0120898,0.0338983,0.0273369,0.0235081,0.028,0.0422078,0.0091047,0.00833333,0.0260323,0.0265252,0.0425844,0.0256674,0.0313059,0.0353403,0.0277078,0.0236486,0.0227082,0.0245455,0.0349933,0.0397644,0.0171891,0.0124224,0.0198473,0.026178,0.0111982,0.0116026,0.00755287,0.0138365,0.0196672,0.0299401,0.0222883,0.0107858,0.0208333,0.0185784,0.00943396,0.0240453,0.0412518,0.23475,0.012959,0.0188133,0.0106222,0.160102,0.00903614,0.0106895,0.0078125,0.00814111,0.015411,0.0172414,0.0122302,0.00621118,0.0319149,0.00626959,0.045403,0.0159884,0.0327869,0.0170807,0.0155317,0.0219653,0.0161177,0.0105263,0.00302572,0.0233711,0.0217391,0.0213033,0.0109244,0.0219245,0.031106,0.0206897,0.0240096,0.0266055,0.0416141,0.0362047,0.00834106,0.04125,0.0276382,0.0359408,0.0359356,0.0203218,0.0366173,0.0257559,0.0205339,0.0239521,0.0316249,0.0101351,0.0169218,0.0314389,0.0134436,0.0243188,0.0210396,0.0200501,0.0261364,0.237369,0.0327044,0.0442478,0.0386521,0.0276356,0.0352811,0.0282903,0.0228453,0.023766,0.0335052,0.0283019,0.0258929,0.00966921,0.0292683,0.026999,0.0431589,0.0108336,0.0217391,0.0297203,0.0148048,0.0291508,0.00156006,0.0172414,0.0290828,0.0481283,0.00582242,0.0187394,0.0419048,0.0205882,0.0205656,0.0242131,0.0137328,0.0128205,0.0445783,0.0260067,0.014892,0.0155844,0.0299838,0.0154762,0.0409091,0.0201681,0.0327706,0.0907692,0.0323383,0.0383912,0.0380091,0.0317881,0.0450281,0.03125,0.0231405,0.0215655,0.0329582,0.0187997,0.0255987,0.0291165,0.0767085,0.0175439,0.0269587,0.0174927,0.0245665,0.0157143,0.0380079,0.0250321,0.0200415,0.0166945,0.0663317,0.0320988,0.0245592,0.0204918,0.0170984,0.0349515,0.013465,0.0210793,0.0298686,0.0175439,0.0101764,0.0351124,0.0182208,0.0259366,0.0139276,0.0332661,0.0153226,0.0227552,0.0524434,0.0160428,0.0740331,0.01554,0.0342466,0.0121655,0.0254925,0.0284757,0.0190476,0.00606061,0.0351317,0.37397,0.0658009
DB00116,0.0151844,0.0209205,0.0221106,0.0343558,0.0382775,0.0210526,0.0125673,0.0418006,0.0361582,0.0267592,0.0357143,0.0276074,0.0106496,0.0176899,0.0298826,0.0178197,0.0387597,0.0930537,0.0420054,0.00856531,0.00757576,0.0237325,0.0243644,0.0238095,0.036036,0.0191286,0.0310881,0.0177866,0.0129353,0.0159046,0.0174482,0.0267857,0.0199203,0.0175439,0.0315789,0.00851064,0.0466045,0.023088,0.0143581,0.00424628,0.0183028,0.0230496,0.0334728,0.0122951,0.0109409,0.0250627,0.0142586,0.00448431,0.0271318,0.0426357,0.0613383,0.0176174,0.0365854,0.0100784,0.042029,0.0106157,0.0149522,0.0134831,0.0397727,0.0195272,0.00621891,0.0176174,0.00665188,0.0407725,0.0112867,0.013947,0.0306122,0.0395833,0.0221729,0.00613497,0.0391566,0.0253061,0.00936768,0.00428266,0.0187296,0.0210444,0.0162774,0.0212551,0.0336538,0.0278592,0.0289331,0.0361635,0.0266371,0.0193548,0.0274637,0.00711382,0.0191388,0.0280066,0.0369393,0.0272,0.0181269,0.0310881,0.0433526,0.0322581,0.0404564,0.030137,0.00742706,0.0298939,0.0329154,0.0181347,0.00701433,0.0128411,0.0598291,0.0488166,0.0308123,0.0245098,0.0585366,0.0190931,0.0253165,0.0205479,0.0405186,0.064603,0.0346369,0.0252951,0.0511628,0.0346696,0.0073157,0.0252366,0.0271318,0.0295082,0.00571973,0.0233196,0.0390708,0.0332103,0.0214876,0.00223714,0.0165746,0.021097,0.0221066,0.00811359,0.0255885,0.0215664,0.0224949,0.0291595,0.0247855,0.0134656,0.0163297,0.0401855,0.03003,0.0112457,0.0352113,0.012218,0.0329154,0.0717391,0.0323887,0.0229746,0.0287387,0.0291262,0.0306346,0.0181624,0.0245184,0.0290828,0.0211946,0.0265487,0.0206961,0.0400381,0.0210084,0.0145208,0.023399,0.0644567,0.0532838,0.0353535,0.0202429,0.0238569,0.0197239,0.0346021,0.0166667,0.055144,0.0178926,0.0358423,0.0405186,0.0148725,0.0375162,0.0154994,0.0234742,0.0119048,0.0262361,0.0292758,0.0148662,0.0117188,0.0323194,0.037037,0.0162791,0.0136546,0.0505689,0.0181644,0.0265549,0.0360902,0.00844014,0.0373333,0.0258065,0.0363901,0.0115163,0.0533537,0.0197239,0.0239478,0.00858369,0.044702,0.0372977,0.0247036
DB00117,0.013346,0.0176282,0.0165414,0.0161943,0.0763889,0.0310078,0.0229358,0.040678,0.026738,0.0190616,0.0198676,0.0199693,0.015025,0.0274194,0.0196078,0.011236,0.0153061,0.0378947,0.0214797,0.023622,0.0213904,0.00996678,0.012945,0.035503,0.0311111,0.0114566,0.0406504,0.0117474,0.00744048,0.00739645,0.00851789,0.0353982,0.0363636,0.023913,0.016055,0.0310078,0.0300926,0.0222222,0.0117647,0.00763359,0.0304183,0.0175219,0.0337838,0.0408163,0.034188,0.016055,0.0139665,0.0190476,0.0384615,0.042328,0.029563,0.0116009,0.0696203,0.00896552,0.121662,0.0305344,0.00892857,0.0576923,0.0452261,0.0171875,0.0151844,0.0116009,0.0272727,0.0588235,0.038835,0.0131234,0.0580645,0.161765,0.0909091,0.0128617,0.0294985,0.0166667,0.00773694,0.00787402,0.013363,0.0135983,0.0101476,0.0136571,0.0340136,0.011236,0.00758534,0.0258065,0.0227671,0.0174825,0.0387324,0.00674847,0.024055,0.0216607,0.0229885,0.0308219,0.0244648,0.0234742,0.0241935,0.0268456,0.010687,0.0223881,0.00711054,0.013947,0.0324675,0.0183066,0.00543294,0.013986,0.0257353,0.0424929,0.0466392,0.032491,0.0333333,0.0158416,0.0195652,0.0279898,0.020339,0.0204082,0.0191638,0.0269231,0.027439,0.00821018,0.00764951,0.019802,0.0202247,0.0291096,0.00569801,0.0175879,0.0141956,0.0330189,0.0259259,0.00943396,0.0186916,0.0239362,0.0277136,0.0196078,0.0122511,0.020073,0.0816327,0.0528455,0.0180305,0.0130233,0.0104603,0.0246914,0.0147493,0.0122249,0.0291667,0.0137741,0.0192308,0.109489,0.0104167,0.0348361,0.0198591,0.0314685,0.0203735,0.02,0.042735,0.0247788,0.0198582,0.0129683,0.0163934,0.014885,0.0150987,0.0114449,0.018711,0.0627803,0.018,0.0208955,0.0584416,0.0295858,0.0352941,0.0708333,0.0133588,0.011828,0.0133531,0.0457256,0.0415225,0.012987,0.0199115,0.0120482,0.0191939,0.0223752,0.011976,0.0414013,0.0148588,0.0105932,0.0520833,0.0121951,0.013308,0.00986842,0.0208333,0.0097629,0.0107527,0.0235294,0.00312935,0.0282353,0.0117955,0.0480226,0.00991501,0.0294118,0.0131579,0.012299,0.0238095,0.0431655,0.0244123,0.0220264
DB00118,0.0171391,0.0154827,0.0113736,0.00821355,0.0246433,0.0222222,0.00860832,0.0115681,0.019305,0.013805,0.0120037,0.0132861,0.012093,0.0136116,0.00914077,0.00909091,0.0103189,0.0473628,0.0213723,0.00993378,0.0166667,0.00740741,0.00820419,0.00769231,0.0194384,0.00733945,0.0208044,0.00949914,0.00608696,0.00606586,0.00562852,0.0142045,0.00618238,0.0359477,0.0120614,0.0268007,0.0164835,0.00712589,0.0120846,0.00492611,0.0121294,0.0173092,0.0063593,0.0292683,0.00838926,0.0111029,0.0142977,0.00686106,0.010574,0.0104478,0.0142518,0.0134933,0.0124805,0.0125065,0.022646,0.0115132,0.303977,0.00854701,0.00879765,0.0125336,0.0486726,0.0112191,0.00508475,0.00807754,0.00859107,0.0128655,0.0125786,0.0257235,0.0152284,0.0488127,0.0146879,0.0123367,0.00603015,0.00330033,0.0153397,0.0139958,0.0128617,0.0159292,0.0116129,0.00840336,0.00630418,0.0152672,0.0191571,0.0091623,0.0197368,0.00903901,0.00907912,0.00792602,0.0131435,0.0182529,0.0132159,0.0234657,0.0141343,0.0151351,0.00883392,0.021789,0.00741473,0.0117351,0.0126904,0.00982533,0.00555231,0.0212202,0.00796813,0.0241546,0.0163532,0.011889,0.023374,0.00914634,0.0128068,0.0126002,0.00774194,0.00977199,0.0191388,0.0163265,0.0136476,0.00736648,0.00941915,0.00637755,0.00863931,0.0121723,0.00639659,0.00682594,0.0108011,0.0130435,0.00798935,0.0034188,0.0105691,0.0285375,0.012035,0.00792393,0.0251572,0.0156403,0.0142857,0.0207182,0.0125104,0.0103026,0.0147368,0.015,0.0191972,0.0315457,0.0125348,0.00829187,0.0114068,0.0193548,0.0157756,0.0186143,0.0136986,0.0170604,0.0140713,0.0148699,0.0154278,0.0143678,0.0152413,0.0076661,0.0140845,0.0131796,0.266604,0.0102128,0.0178384,0.0184659,0.0112474,0.0157068,0.0125984,0.0108192,0.0123457,0.0221914,0.0164799,0.015,0.0113043,0.0141129,0.0129702,0.0168176,0.0161987,0.0138151,0.0433437,0.0141643,0.0113736,0.0163728,0.0130662,0.0105708,0.013373,0.0193622,0.00896414,0.226795,0.0178384,0.0151771,0.0106851,0.0122249,0.00839077,0.00991189,0.0170593,0.0315152,0.0135939,0.0184049,0.0103359,0.0130719,0.00164474,0.0158311,0.013191,0.00857633
DB00119,0.0092688,0.00546448,0.0085034,0.00963855,0.046083,0.022779,0.0294118,0.0418605,0.0123203,0.00657895,0.0171756,0.00693241,0.00767754,0.0127971,0.0131086,0.00366972,0.0178218,0.0123457,0.00877193,0.0444444,0.00934579,0.0174419,0.0168539,0.0222222,0.0187166,0.0056391,0.0116959,0.00664452,0.00507614,0.00673401,0.00592885,0.0272109,0.0232558,0.0104167,0.0140845,0.0204082,0.0140056,0.00706714,0.00647668,0.0208333,0.0217391,0.0110803,0.0769231,0.0294118,0.0555556,0.00752823,0.00625978,0.0909091,0.049505,0.0363636,0.00701262,0.00895141,0.0617284,0.00877193,0.0207612,0.130435,0.00394322,0.5,0.0775862,0.0142857,0.00260417,0.00895141,0.0344828,0.173077,0.142857,0.01,0.0945946,0.0869565,0.233333,0.004329,0.0350195,0.0121655,0.00921659,0,0.00486027,0.00567537,0.00297324,0.0173913,0.0424528,0.0109489,0.0113314,0.00858369,0.0100806,0.0146341,0.0241546,0.00451322,0.0046729,0.00502513,0.00835655,0.0234742,0.00686106,0.0106195,0.0347222,0.030137,0.0104712,0.00613497,0.00340136,0.010989,0.00858369,0.0111732,0.00139179,0.00485437,0.037037,0.0215054,0.00591716,0.0201005,0.0136986,0.0046729,0.0184697,0.0126183,0.0139535,0.0280112,0.0182556,0.010989,0.016,0.00759013,0.00737463,0.018018,0.0248619,0.00974659,0.00292719,0.00625,0.0108303,0.0149254,0.0210526,0.0434783,0.0104012,0.0202703,0.0111732,0.028169,0.00347222,0.00847458,0.0133333,0.0232558,0.0140187,0.00399202,0.00799087,0.0163265,0.00498339,0.00675676,0.0123457,0.0030722,0.012931,0.15,0.0118845,0.0193237,0.00399202,0.0241546,0.00582524,0.00570342,0.0254777,0.0143149,0.00952381,0.0197368,0.015361,0.0121396,0.00892857,0.00321543,0.00742574,0.0405405,0.0118765,0.0117845,0.0810811,0.0224719,0.0449438,0.0357143,0.0103199,0.00468384,0.0118044,0.016055,0.0283019,0.009,0.016129,0.00598355,0.00674157,0.00788955,0.0102215,0.0338983,0.00671141,0.00810185,0.0258621,0.00911854,0.00896861,0.00479616,0.0149626,0.00627944,0.00674374,0.023166,0.00214592,0.0143266,0.00878477,0.0285714,0.00318471,0.0152091,0.00993378,0.00611621,0,0.0197044,0.00286533,0.00822368
DB00120,0.0136852,0.05,0.028481,0.0484582,0.0839695,0.0305499,0.0314136,0.106299,0.0784314,0.0436817,0.0278746,0.0459016,0.0139373,0.0268908,0.0274914,0.0254669,0.0306859,0.0309051,0.028133,0.0196078,0.0248447,0.0246479,0.0273973,0.211382,0.0257611,0.0385965,0.111111,0.0247295,0.0203762,0.0202492,0.0235081,0.124324,0.218487,0.0229885,0.0220588,0.038835,0.029484,0.0239521,0.0121359,0.00952381,0.0337553,0.0167959,0.186916,0.0495868,0.043956,0.0213777,0.0144928,0.0253165,0.0723684,0.155405,0.0763889,0.0119617,0.1,0.00912921,0.124601,0.0380952,0.00681302,0.0769231,0.0340909,0.0162602,0.016092,0.0119617,0.0357143,0.242105,0.0519481,0.0315186,0.0697674,0.2,0.119048,0.0140351,0.0487013,0.0218391,0.0102041,0.00990099,0.0184332,0.0183585,0.0142315,0.014218,0.0373134,0.0603175,0.0171504,0.0735294,0.0508475,0.0816327,0.106996,0.00685786,0.0625,0.0889831,0.0634518,0.0956175,0.0254777,0.0228013,0.0380117,0.0358852,0.0192308,0.0349462,0.00723208,0.0174165,0.0541516,0.0194647,0.00651577,0.0153846,0.0411523,0.06875,0.0934718,0.101695,0.045929,0.0295983,0.0302326,0.08,0.0826772,0.0341463,0.0256881,0.04329,0.0506757,0.0190641,0.00779037,0.0801527,0.0413625,0.0304659,0.00575126,0.0326975,0.0215232,0.0604396,0.0960699,0.0125,0.0193638,0.0405797,0.0501253,0.023622,0.016,0.0230326,0.0555556,0.0590909,0.026087,0.0152818,0.0107527,0.0408163,0.0231839,0.0126263,0.0473934,0.0274964,0.035461,0.135135,0.017134,0.0345572,0.0309414,0.0466926,0.0492701,0.0371681,0.0845771,0.0394737,0.0297177,0.0226586,0.0169972,0.0269504,0.0131422,0.0240602,0.0311111,0.19209,0.0298507,0.0265211,0.0703125,0.034965,0.0416667,0.1,0.019685,0.013289,0.015456,0.123596,0.108871,0.013308,0.0211268,0.0130058,0.0327198,0.0234234,0.0220126,0.0985401,0.015456,0.0108932,0.165563,0.0236842,0.0221774,0.00788288,0.0220264,0.0130624,0.014733,0.0627063,0.00846561,0.0458015,0.0177353,0.0486322,0.00585652,0.0485437,0.0198777,0.0195313,0.019802,0.0909091,0.0502846,0.0197869
